#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,25,3837,5.8706268077766E-06,0.000589997994181549,"Q9FUS8, O65378, Q9SHH6, Q9SA18, Q9SEV0, Q9ZW95, Q9FMT1, Q3E9D5, Q9FMR0, Q9FJZ3, Q9FGC7, Q96324, Q94IA6, Q94ID1, Q9LHR4, Q9SMU8, Q9LZJ1, Q9ZW15, F4IKM1, A0A178VRB0, O64882, Q94AR8, Q93WN0, Q9STW8, P25819",,Q9FUS8; O65378; Q9SHH6; Q9SA18; Q9SEV0; Q9ZW95; Q9FMT1; Q3E9D5; Q9FMR0; Q9FJZ3; Q9FGC7; Q96324; Q94IA6; Q94ID1; Q9LHR4; Q9SMU8; Q9LZJ1; Q9ZW15; F4IKM1; A0A178VRB0; O64882; Q94AR8; Q93WN0; Q9STW8; P25819
Pathogenic Escherichia coli infection,n/a,map05130,3,152,0.00596800172369697,0.0461372440947343,"Q9LQQ9, F4IRU3, O82480",,Q9LQQ9; F4IRU3; O82480
Shigellosis,n/a,map05131,3,241,0.02015139750328,0.0632879827837387,"Q9SRZ0, Q9LQQ9, O82480",,Q9SRZ0; Q9LQQ9; O82480
Salmonella infection,n/a,map05132,3,230,0.0178666129959913,0.0608676137660044,"Q9LQQ9, Q9XIF4, O82480",,Q9LQQ9; Q9XIF4; O82480
Fc gamma R-mediated phagocytosis,n/a,map04666,2,106,0.0268816291886227,0.0710948350909626,"Q9LQQ9, O82480",,Q9LQQ9; O82480
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.25260750941373,0.280519941393147,Q9SA18,,Q9SA18
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,2,54,0.00775782667274602,0.0511253495482607,"Q9ZW15, F4IKM1",,Q9ZW15; F4IKM1
Phenylpropanoid biosynthesis,n/a,map00940,4,280,0.00469801270610221,0.039345856413606,"Q9FMR0, Q9SMU8, Q9LZJ1, O64882",,Q9FMR0; Q9SMU8; Q9LZJ1; O64882
Starch and sucrose metabolism,n/a,map00500,3,276,0.0284411628128654,0.0732906887869992,"Q9LZJ1, O64882, Q9STW8",,Q9LZJ1; O64882; Q9STW8
Cyanoamino acid metabolism,n/a,map00460,2,104,0.0259695957867037,0.069598516708366,"Q9LZJ1, O64882",,Q9LZJ1; O64882
Hedgehog signaling pathway,n/a,map04340,1,48,0.108653145383312,0.165449107742771,Q9SRZ0,,Q9SRZ0
Hedgehog signaling pathway - fly,n/a,map04341,2,81,0.0164475935681729,0.0590351126286206,"Q9SRZ0, Q2QAV0",,Q9SRZ0; Q2QAV0
MAPK signaling pathway - plant,n/a,map04016,5,238,0.000293878284579796,0.00738369190006738,"Q9LNW3, Q9LX16, Q9LSF1, Q9LW27, P25819",,Q9LNW3; Q9LX16; Q9LSF1; Q9LW27; P25819
Plant-pathogen interaction,n/a,map04626,2,339,0.1907906512198,0.232417702395029,"Q9LNE7, Q9LIK5",,Q9LNE7; Q9LIK5
Photosynthesis - antenna proteins,n/a,map00196,1,40,0.091753477861103,0.14813212088419,A0A178VRB0,,A0A178VRB0
Cell cycle,n/a,map04110,3,206,0.0134110050186765,0.0550124899745708,"Q9SRZ0, Q9C701, O22806",,Q9SRZ0; Q9C701; O22806
Cell cycle - yeast,n/a,map04111,4,167,0.000747864166223304,0.013665517946444,"Q9SRZ0, Q9LQQ9, Q9C701, O22806",,Q9SRZ0; Q9LQQ9; Q9C701; O22806
Meiosis - yeast,n/a,map04113,1,126,0.257856599997415,0.284775695601541,O22806,,O22806
Oocyte meiosis,n/a,map04114,3,189,0.0106889517283234,0.053711982434825,"Q9SRZ0, Q9LQQ9, O22806",,Q9SRZ0; Q9LQQ9; O22806
Ubiquitin mediated proteolysis,n/a,map04120,1,252,0.448098150245823,0.459529225507196,Q9SRZ0,,Q9SRZ0
Viral carcinogenesis,n/a,map05203,2,227,0.101258140399869,0.156560663233643,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Human T-cell leukemia virus 1 infection,n/a,map05166,2,168,0.0608506378028442,0.122309781983717,"Q9LQQ9, Q9C701",,Q9LQQ9; Q9C701
Tuberculosis,n/a,map05152,1,129,0.263068953189596,0.2873742369082,Q9LQQ9,,Q9LQQ9
Longevity regulating pathway - worm,n/a,map04212,4,180,0.000981484455374402,0.0164398646275212,"Q9FUS8, Q9SHH6, Q96324, P25819",,Q9FUS8; Q9SHH6; Q96324; P25819
Protein processing in endoplasmic reticulum,n/a,map04141,1,364,0.575951320705142,0.584677855867341,Q9SRZ0,,Q9SRZ0
Huntington disease,n/a,map05016,1,437,1,1.005,Q9ZVB9,,Q9ZVB9
Synaptic vesicle cycle,n/a,map04721,1,106,0.222156175951909,0.253712450945078,Q9ZPV9,,Q9ZPV9
alpha-Linolenic acid metabolism,n/a,map00592,1,71,0.155514190862737,0.211921032972271,Q9SGH6,,Q9SGH6
Sphingolipid signaling pathway,n/a,map04071,2,119,0.0331157569196503,0.0826865483335368,"Q9LQQ9, O82480",,Q9LQQ9; O82480
PI3K-Akt signaling pathway,n/a,map04151,2,155,0.0528992041482983,0.1107577086855,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Human papillomavirus infection,n/a,map05165,1,212,0.393668785455773,0.405781671162105,Q9LQQ9,,Q9LQQ9
Adrenergic signaling in cardiomyocytes,n/a,map04261,1,81,0.175114978099484,0.222772851886052,Q9LQQ9,,Q9LQQ9
Peroxisome,n/a,map04146,1,144,0.288588563260225,0.306911646641826,P25819,,P25819
cAMP signaling pathway,n/a,map04024,2,97,0.0228803329158182,0.0676315722952861,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Carbon metabolism,n/a,map01200,1,480,1,1.005,P25819,,P25819
MAPK signaling pathway - yeast,n/a,map04011,2,78,0.0153433600551816,0.0616803074218299,"Q9LQQ9, P25819",,Q9LQQ9; P25819
Hepatitis C,n/a,map05160,1,66,0.145540444067811,0.201749167294,Q9LQQ9,,Q9LQQ9
NOD-like receptor signaling pathway,n/a,map04621,3,117,0.00292389620851928,0.0326501743284653,"Q9LQQ9, Q9XIF4, Q9FJV7",,Q9LQQ9; Q9XIF4; Q9FJV7
Neurotrophin signaling pathway,n/a,map04722,2,84,0.0175847417481368,0.0609402257133708,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Glyoxylate and dicarboxylate metabolism,n/a,map00630,1,144,0.288588563260225,0.306911646641826,P25819,,P25819
Circadian rhythm - plant,n/a,map04712,2,71,0.0128977393470346,0.0545778022895572,"Q6LA42, Q9LVG4",,Q6LA42; Q9LVG4
Epstein-Barr virus infection,n/a,map05169,1,154,0.305110439147104,0.319412490982124,O82480,,O82480
Autophagy - animal,n/a,map04140,1,145,0.290258214258677,0.305454979403111,Q9LQQ9,,Q9LQQ9
Parkinson disease,n/a,map05012,2,411,0.252487076580916,0.281943902182023,"Q9XIF4, Q9FJV7",,Q9XIF4; Q9FJV7
Prion diseases,n/a,map05020,1,20,0.0480943198129853,0.104507657107136,Q9LQQ9,,Q9LQQ9
Brassinosteroid biosynthesis,n/a,map00905,1,15,0.0368566307707773,0.0892552142762197,Q94IA6,,Q94IA6
Glucosinolate biosynthesis,n/a,map00966,3,47,0.000230256269162181,0.00661164430022834,"Q9FZ80, Q9FMT1, Q94AR8",,Q9FZ80; Q9FMT1; Q94AR8
2-Oxocarboxylic acid metabolism,n/a,map01210,2,126,0.0366835205789145,0.0899193614190465,"Q9FMT1, Q94AR8",,Q9FMT1; Q94AR8
Toxoplasmosis,n/a,map05145,1,81,0.175114978099484,0.222772851886052,Q9LQQ9,,Q9LQQ9
Drug metabolism - other enzymes,n/a,map00983,3,141,0.00486914518021396,0.0391479272489202,"Q9FUS8, Q9SHH6, Q96324",,Q9FUS8; Q9SHH6; Q96324
Zeatin biosynthesis,n/a,map00908,3,59,0.000435166302288978,0.00971871408445384,"Q9ZW95, Q94ID1, Q9FUJ2",,Q9ZW95; Q94ID1; Q9FUJ2
Alzheimer disease,n/a,map05010,2,426,0.265457777515503,0.28841628800333,"Q9LQQ9, Q9FJV7",,Q9LQQ9; Q9FJV7
Biosynthesis of amino acids,n/a,map01230,2,419,0.259403777218843,0.284918902846926,"Q9SA18, Q94AR8",,Q9SA18; Q94AR8
Longevity regulating pathway,n/a,map04211,1,65,0.143531653204875,0.201044336544808,P25819,,P25819
Cysteine and methionine metabolism,n/a,map00270,3,201,0.0125733781544713,0.0549401958488855,"O65378, Q9SA18, Q3E9D5",,O65378; Q9SA18; Q3E9D5
"Valine, leucine and isoleucine biosynthesis",n/a,map00290,2,39,0.00422729243485563,0.0404612275907611,"Q9FMT1, Q94AR8",,Q9FMT1; Q94AR8
Flavonoid biosynthesis,n/a,map00941,1,41,0.0938832744078549,0.149174214671769,Q9SEV0,,Q9SEV0
Cellular senescence,n/a,map04218,2,140,0.044234665257669,0.0999007608628255,"Q9LQQ9, Q9FJV7",,Q9LQQ9; Q9FJV7
Pathways in cancer,n/a,map05200,7,283,6.53484932446832E-06,0.000437834904739378,"Q9SRZ0, Q9LQQ9, Q9FUS8, Q9SHH6, Q7Y1C4, Q96324, O82480",,Q9SRZ0; Q9LQQ9; Q9FUS8; Q9SHH6; Q7Y1C4; Q96324; O82480
Acute myeloid leukemia,n/a,map05221,1,26,0.0614072022419804,0.121604410351114,Q9LQQ9,,Q9LQQ9
Hepatitis B,n/a,map05161,1,54,0.121121927387331,0.175779836858148,Q9LQQ9,,Q9LQQ9
Progesterone-mediated oocyte maturation,n/a,map04914,2,65,0.0109514572986477,0.0536888516348338,"Q9LQQ9, O22806",,Q9LQQ9; O22806
Porphyrin and chlorophyll metabolism,n/a,map00860,1,92,0.196152587013085,0.237510060178495,Q66WT5,,Q66WT5
Terpenoid backbone biosynthesis,n/a,map00900,1,105,0.220326903276679,0.253061186049214,Q9LHR4,,Q9LHR4
Choline metabolism in cancer,n/a,map05231,2,96,0.0224523074988598,0.0673569224965794,"Q9LQQ9, O82480",,Q9LQQ9; O82480
FoxO signaling pathway,n/a,map04068,2,90,0.0199557364080557,0.0636683018733205,"Q9LQQ9, P25819",,Q9LQQ9; P25819
Prostate cancer,n/a,map05215,1,43,0.098127948521269,0.154091544162305,Q9LQQ9,,Q9LQQ9
Gastric cancer,n/a,map05226,2,54,0.00775782667274602,0.0511253495482607,"Q9LQQ9, Q9M0M2",,Q9LQQ9; Q9M0M2
Cushing syndrome,n/a,map04934,1,24,0.0569903192146003,0.116888307776884,Q9LQQ9,,Q9LQQ9
MicroRNAs in cancer,n/a,map05206,2,95,0.022027660405947,0.0670842385090205,"Q9LQQ9, Q9M0M2",,Q9LQQ9; Q9M0M2
"Cutin, suberine and wax biosynthesis",n/a,map00073,1,52,0.116985100367259,0.171635074261453,Q94CD1,,Q94CD1
Carotenoid biosynthesis,n/a,map00906,1,44,0.100242849215516,0.156192346452082,Q9FGC7,,Q9FGC7
ABC transporters,n/a,map02010,1,35,0.0810294348368732,0.138024715272979,Q9M0M2,,Q9M0M2
Bile secretion,n/a,map04976,1,32,0.0745345392056877,0.131416161231081,Q9M0M2,,Q9M0M2
Human immunodeficiency virus 1 infection,n/a,map05170,3,172,0.00831901429876466,0.0484673006971506,"Q9SRZ0, Q9LQQ9, O82480",,Q9SRZ0; Q9LQQ9; O82480
Pancreatic secretion,n/a,map04972,1,63,0.139499942508643,0.197461186227024,O82480,,O82480
Hepatocellular carcinoma,n/a,map05225,4,119,0.000215574025079886,0.0072217298401762,"Q9LQQ9, Q9FUS8, Q9SHH6, Q96324",,Q9LQQ9; Q9FUS8; Q9SHH6; Q96324
Phagosome,n/a,map04145,1,159,0.313227423042501,0.326210943168615,O82480,,O82480
Amyotrophic lateral sclerosis (ALS),n/a,map05014,2,87,0.0187542917946213,0.060800204043853,"O82480, P25819",,O82480; P25819
Longevity regulating pathway - multiple species,n/a,map04213,1,73,0.159471129165916,0.215125482968787,P25819,,P25819
Lysine biosynthesis,n/a,map00300,1,30,0.0701792165638983,0.126511412819225,Q9SA18,,Q9SA18
Calcium signaling pathway,n/a,map04020,1,80,0.173175476404195,0.223847400368124,Q9FJV7,,Q9FJV7
cGMP-PKG signaling pathway,n/a,map04022,1,78,0.169282829443302,0.223120319462975,Q9LQQ9,,Q9LQQ9
Influenza A,n/a,map05164,1,80,0.173175476404195,0.223847400368124,Q9LQQ9,,Q9LQQ9
Apelin signaling pathway,n/a,map04371,1,69,0.151538690035354,0.208625182856892,Q9LQQ9,,Q9LQQ9
Kaposi sarcoma-associated herpesvirus infection,n/a,map05167,2,138,0.0431232125397386,0.0996294910400858,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Ras signaling pathway,n/a,map04014,2,71,0.0128977393470346,0.0545778022895572,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Axon regeneration,n/a,map04361,1,87,0.186657150580409,0.22946842364931,O82480,,O82480
Rap1 signaling pathway,n/a,map04015,2,54,0.00775782667274602,0.0511253495482607,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Glioma,n/a,map05214,1,34,0.0788695322881782,0.136661861982102,Q9LQQ9,,Q9LQQ9
Fluid shear stress and atherosclerosis,n/a,map05418,5,197,0.000125040307907251,0.00502662037787148,"Q9FUS8, Q9SHH6, Q9XIF4, Q96324, O82480",,Q9FUS8; Q9SHH6; Q9XIF4; Q96324; O82480
Pertussis,n/a,map05133,1,38,0.0874789077488405,0.144125085717352,Q9LQQ9,,Q9LQQ9
Human cytomegalovirus infection,n/a,map05163,2,93,0.0211885737711661,0.0655215896616059,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Alcoholism,n/a,map05034,1,144,0.288588563260225,0.306911646641826,Q9LQQ9,,Q9LQQ9
Vascular smooth muscle contraction,n/a,map04270,1,37,0.0853341108287723,0.141753357657713,Q9LQQ9,,Q9LQQ9
Insulin signaling pathway,n/a,map04910,1,135,0.273384470340682,0.295431605045575,Q9LQQ9,,Q9LQQ9
GnRH signaling pathway,n/a,map04912,1,41,0.0938832744078549,0.149174214671769,Q9LQQ9,,Q9LQQ9
Estrogen signaling pathway,n/a,map04915,1,48,0.108653145383312,0.165449107742771,Q9LQQ9,,Q9LQQ9
Melanogenesis,n/a,map04916,1,29,0.067993902002665,0.125961053479591,Q9LQQ9,,Q9LQQ9
Oxytocin signaling pathway,n/a,map04921,1,79,0.171231430374665,0.223490373411088,Q9LQQ9,,Q9LQQ9
Circadian entrainment,n/a,map04713,1,19,0.0458572839816562,0.101848774368098,Q9LQQ9,,Q9LQQ9
C-type lectin receptor signaling pathway,n/a,map04625,1,40,0.091753477861103,0.14813212088419,Q9LQQ9,,Q9LQQ9
Long-term potentiation,n/a,map04720,1,65,0.143531653204875,0.201044336544808,Q9LQQ9,,Q9LQQ9
RNA transport,n/a,map03013,1,285,0.48931621325676,0.499251567840654,Q6AWV1,,Q6AWV1
Glycerophospholipid metabolism,n/a,map00564,2,164,0.058362393479183,0.118493344336523,"Q9XI60, Q9FLM1",,Q9XI60; Q9FLM1
HIF-1 signaling pathway,n/a,map04066,1,107,0.223981171696682,0.254351500062333,Q9LQQ9,,Q9LQQ9
Fructose and mannose metabolism,n/a,map00051,1,110,0.229430597292016,0.257628771260867,Q9FJZ3,,Q9FJZ3
Wnt signaling pathway,n/a,map04310,2,158,0.0546990162830912,0.113345384256715,"Q9SRZ0, O82480",,Q9SRZ0; O82480
TGF-beta signaling pathway,n/a,map04350,2,70,0.0125636139306633,0.0561174755569629,"Q9SRZ0, Q9LQQ9",,Q9SRZ0; Q9LQQ9
Circadian rhythm,n/a,map04710,1,60,0.133416888664873,0.190190032777585,Q9SRZ0,,Q9SRZ0
Retrograde endocannabinoid signaling,n/a,map04723,1,83,0.178980391292012,0.222755781112659,Q9LQQ9,,Q9LQQ9
Apoptosis,n/a,map04210,1,51,0.11490941623653,0.169829357820166,Q9LQQ9,,Q9LQQ9
Tight junction,n/a,map04530,1,98,0.207401400402261,0.245945023485868,O82480,,O82480
Yersinia infection,n/a,map05135,2,59,0.00914816250278998,0.0483889648173891,"Q9LQQ9, O82480",,Q9LQQ9; O82480
SNARE interactions in vesicular transport,n/a,map04130,1,93,0.198038376360206,0.238357566756895,Q9ZPV9,,Q9ZPV9
Basal transcription factors,n/a,map03022,1,87,0.186657150580409,0.22946842364931,Q6PUA2,,Q6PUA2
mTOR signaling pathway,n/a,map04150,1,103,0.216655487469142,0.253184610356381,Q9LQQ9,,Q9LQQ9
Epithelial cell signaling in Helicobacter pylori infection,n/a,map05120,1,82,0.177049946331331,0.222418995078735,O82480,,O82480
Two-component system,n/a,map02020,1,99,0.209260892138033,0.245973329355232,Q9STW8,,Q9STW8
Non-alcoholic fatty liver disease (NAFLD),n/a,map04932,1,160,0.314839446179403,0.326199632381753,O82480,,O82480
MAPK signaling pathway - fly,n/a,map04013,2,100,0.0241844989337934,0.0684659758548237,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Ribosome biogenesis in eukaryotes,n/a,map03008,1,140,0.281870727238956,0.302973348529573,Q6AWV1,,Q6AWV1
Focal adhesion,n/a,map04510,2,81,0.0164475935681729,0.0590351126286206,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Adherens junction,n/a,map04520,2,51,0.0069738413561462,0.0500622183066209,"Q9LQQ9, O82480",,Q9LQQ9; O82480
MAPK signaling pathway,n/a,map04010,2,81,0.0164475935681729,0.0590351126286206,"Q9LQQ9, O82480",,Q9LQQ9; O82480
VEGF signaling pathway,n/a,map04370,2,57,0.008579599798414,0.0479027655411448,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Proteoglycans in cancer,n/a,map05205,2,69,0.012233359934387,0.0558842124275405,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Colorectal cancer,n/a,map05210,2,55,0.00802758042836089,0.0488952626091072,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Renal cell carcinoma,n/a,map05211,2,49,0.00647245947335246,0.0481838649682905,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Pancreatic cancer,n/a,map05212,3,65,0.000570694775415001,0.0114709649858415,"Q9LQQ9, Q7Y1C4, O82480",,Q9LQQ9; Q7Y1C4; O82480
Viral myocarditis,n/a,map05416,1,36,0.083184290445953,0.139916672632942,O82480,,O82480
AGE-RAGE signaling pathway in diabetic complications,n/a,map04933,2,41,0.00464084755484576,0.040556972109739,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Axon guidance,n/a,map04360,2,79,0.0157077488200173,0.0619070100553623,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Osteoclast differentiation,n/a,map04380,2,61,0.00973310262307617,0.050162913518931,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Chemokine signaling pathway,n/a,map04062,2,37,0.00383182838826015,0.0385098753020145,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Toll-like receptor signaling pathway,n/a,map04620,2,31,0.00275577056633166,0.0325829343430979,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Natural killer cell mediated cytotoxicity,n/a,map04650,2,54,0.00775782667274602,0.0511253495482607,"Q9LQQ9, O82480",,Q9LQQ9; O82480
B cell receptor signaling pathway,n/a,map04662,2,58,0.00886182363269329,0.0481412581127392,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Fc epsilon RI signaling pathway,n/a,map04664,2,34,0.00327294313574151,0.0346242931728444,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Leukocyte transendothelial migration,n/a,map04670,1,27,0.0636079067997808,0.122934512180346,O82480,,O82480
Glutathione metabolism,n/a,map00480,3,172,0.00831901429876466,0.0484673006971506,"Q9FUS8, Q9SHH6, Q96324",,Q9FUS8; Q9SHH6; Q96324
Insulin resistance,n/a,map04931,1,75,0.163409591279277,0.218241381044084,Q9LNW3,,Q9LNW3
Gap junction,n/a,map04540,1,36,0.083184290445953,0.139916672632942,Q9LQQ9,,Q9LQQ9
Central carbon metabolism in cancer,n/a,map05230,1,94,0.199919757298951,0.23918970962553,Q9LQQ9,,Q9LQQ9
Fanconi anemia pathway,n/a,map03460,1,75,0.163409591279277,0.218241381044084,Q7Y1C4,,Q7Y1C4
Homologous recombination,n/a,map03440,1,104,0.218493343786455,0.253124853608515,Q7Y1C4,,Q7Y1C4
EGFR tyrosine kinase inhibitor resistance,n/a,map01521,1,31,0.0723594249961733,0.128710127648061,Q9LQQ9,,Q9LQQ9
Platinum drug resistance,n/a,map01524,5,115,1.04495572132219E-05,0.000525090249964398,"Q9LQQ9, Q9FUS8, Q9SHH6, Q96324, Q8GWP3",,Q9LQQ9; Q9FUS8; Q9SHH6; Q96324; Q8GWP3
RNA polymerase,n/a,map03020,1,83,0.178980391292012,0.222755781112659,Q9ZVB9,,Q9ZVB9
Cytosolic DNA-sensing pathway,n/a,map04623,1,50,0.112828869910733,0.1692433048661,Q9ZVB9,,Q9ZVB9
Thyroid hormone signaling pathway,n/a,map04919,1,78,0.169282829443302,0.223120319462975,Q9LQQ9,,Q9LQQ9
Phospholipase D signaling pathway,n/a,map04072,1,81,0.175114978099484,0.222772851886052,Q9LQQ9,,Q9LQQ9
Glutamatergic synapse,n/a,map04724,1,59,0.131379696461231,0.188623707062195,Q9LQQ9,,Q9LQQ9
PD-L1 expression and PD-1 checkpoint pathway in cancer,n/a,map05235,1,54,0.121121927387331,0.175779836858148,Q9LQQ9,,Q9LQQ9
Th1 and Th2 cell differentiation,n/a,map04658,1,26,0.0614072022419804,0.121604410351114,Q9LQQ9,,Q9LQQ9
Th17 cell differentiation,n/a,map04659,1,34,0.0788695322881782,0.136661861982102,Q9LQQ9,,Q9LQQ9
T cell receptor signaling pathway,n/a,map04660,1,34,0.0788695322881782,0.136661861982102,Q9LQQ9,,Q9LQQ9
Apoptosis - fly,n/a,map04214,1,27,0.0636079067997808,0.122934512180346,Q9LQQ9,,Q9LQQ9
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,3,89,0.00137199910564938,0.0196979871596805,"Q9FUS8, Q9SHH6, Q96324",,Q9FUS8; Q9SHH6; Q96324
Drug metabolism - cytochrome P450,n/a,map00982,3,92,0.00150442561736119,0.02015930327264,"Q9FUS8, Q9SHH6, Q96324",,Q9FUS8; Q9SHH6; Q96324
Mineral absorption,n/a,map04978,1,29,0.067993902002665,0.125961053479591,Q8GWP3,,Q8GWP3
Breast cancer,n/a,map05224,2,30,0.00259275497275496,0.0325714843452342,"Q9LQQ9, Q7Y1C4",,Q9LQQ9; Q7Y1C4
Chagas disease (American trypanosomiasis),n/a,map05142,1,28,0.0658034693807111,0.124778276844556,Q9LQQ9,,Q9LQQ9
Long-term depression,n/a,map04730,1,19,0.0458572839816562,0.101848774368098,Q9LQQ9,,Q9LQQ9
Diterpenoid biosynthesis,n/a,map00904,2,40,0.00443181969602936,0.0404907163137228,"Q9FZ21, O49561",,Q9FZ21; O49561
Chemical carcinogenesis,n/a,map05204,3,84,0.00116805537009035,0.0180599330298585,"Q9FUS8, Q9SHH6, Q96324",,Q9FUS8; Q9SHH6; Q96324
Sesquiterpenoid and triterpenoid biosynthesis,n/a,map00909,1,30,0.0701792165638983,0.126511412819225,Q9FI37,,Q9FI37
Type II diabetes mellitus,n/a,map04930,1,39,0.0896186928838822,0.146450059102929,Q9LQQ9,,Q9LQQ9
C5-Branched dibasic acid metabolism,n/a,map00660,1,11,0.0277713719526379,0.0724941008114314,Q94AR8,,Q94AR8
Endocrine resistance,n/a,map01522,1,16,0.0391146950510163,0.0935958774435034,Q9LQQ9,,Q9LQQ9
Signaling pathways regulating pluripotency of stem cells,n/a,map04550,1,10,0.0254867449158623,0.0701758318916209,Q9LQQ9,,Q9LQQ9
ErbB signaling pathway,n/a,map04012,1,13,0.0323246264201142,0.0822436697524424,Q9LQQ9,,Q9LQQ9
Endometrial cancer,n/a,map05213,1,21,0.0503261291056061,0.107612254789647,Q9LQQ9,,Q9LQQ9
Prolactin signaling pathway,n/a,map04917,1,10,0.0254867449158623,0.0701758318916209,Q9LQQ9,,Q9LQQ9
"Growth hormone synthesis, secretion and action",n/a,map04935,1,17,0.0413674838244824,0.0972498742540463,Q9LQQ9,,Q9LQQ9
IL-17 signaling pathway,n/a,map04657,1,29,0.067993902002665,0.125961053479591,Q9LQQ9,,Q9LQQ9
Chronic myeloid leukemia,n/a,map05220,1,22,0.052552724004779,0.111190500262743,Q9LQQ9,,Q9LQQ9
TNF signaling pathway,n/a,map04668,1,7,0.0186007150483988,0.0617974169376554,Q9LQQ9,,Q9LQQ9
Thyroid cancer,n/a,map05216,1,9,0.0231967680841352,0.0670870558980025,Q9LQQ9,,Q9LQQ9
Melanoma,n/a,map05218,1,18,0.0436150093932375,0.0996206464550084,Q9LQQ9,,Q9LQQ9
Bladder cancer,n/a,map05219,1,9,0.0231967680841352,0.0670870558980025,Q9LQQ9,,Q9LQQ9
Non-small cell lung cancer,n/a,map05223,1,17,0.0413674838244824,0.0972498742540463,Q9LQQ9,,Q9LQQ9
Dorso-ventral axis formation,n/a,map04320,1,4,0.0116661989720358,0.0551742586677458,Q9LQQ9,,Q9LQQ9
