#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,24,3837,0.00172005353095,0.04988155239755,"Q9LIA0, Q8LAX0, O65378, Q9C7W4, Q9LIB9, P92983, O64749, Q9SYK6, Q9C6C8, Q9FXB2, O22693, Q8RX87, Q9SS67, Q9S7A0, P49078, Q94A08, O82200, O49340, O22841, A0A178VQI1, Q9S9U6, Q9T0E0, A0A1P8B956, Q8H1S0",,Q9LIA0; Q8LAX0; O65378; Q9C7W4; Q9LIB9; P92983; O64749; Q9SYK6; Q9C6C8; Q9FXB2; O22693; Q8RX87; Q9SS67; Q9S7A0; P49078; Q94A08; O82200; O49340; O22841; A0A178VQI1; Q9S9U6; Q9T0E0; A0A1P8B956; Q8H1S0
Bile secretion,n/a,map04976,1,32,0.0982498644253847,0.438345548974793,Q9LSJ6,,Q9LSJ6
Human immunodeficiency virus 1 infection,n/a,map05170,1,172,0.418690313566456,0.516681663550095,O49606,,O49606
Hepatocellular carcinoma,n/a,map05225,1,119,0.313534315282917,0.458445133270819,Q9C6C8,,Q9C6C8
Thermogenesis,n/a,map04714,1,259,0.557611440301389,0.621951221874626,Q9C7W4,,Q9C7W4
Longevity regulating pathway - multiple species,n/a,map04213,1,73,0.207010751801553,0.50027598352042,P21276,,P21276
Necroptosis,n/a,map04217,1,122,0.31996347257123,0.448981001833823,Q9S7A0,,Q9S7A0
Calcium signaling pathway,n/a,map04020,1,80,0.224225745521881,0.475796094156186,Q1PE15,,Q1PE15
Oxidative phosphorylation,n/a,map00190,1,290,0.598650883467752,0.627501528454149,Q9T0E0,,Q9T0E0
Fluid shear stress and atherosclerosis,n/a,map05418,1,197,0.462554135392397,0.53656279705518,Q9C6C8,,Q9C6C8
Pertussis,n/a,map05133,1,38,0.115049931398916,0.435188870943727,O49606,,O49606
Alcoholism,n/a,map05034,2,144,0.077048131429154,0.432463705441058,"Q9FX60, Q8LRK8",,Q9FX60; Q8LRK8
Insulin signaling pathway,n/a,map04910,2,135,0.0690436254410682,0.429056815240924,"Q501E6, Q4V3D6",,Q501E6; Q4V3D6
RNA transport,n/a,map03013,1,285,0.592298180679089,0.628413923403424,O04319,,O04319
Fatty acid biosynthesis,n/a,map00061,1,65,0.186869465474155,0.516115666547667,Q9C7W4,,Q9C7W4
Quorum sensing,n/a,map02024,1,115,0.304867707245503,0.469442310271837,Q9C7W4,,Q9C7W4
Basal transcription factors,n/a,map03022,1,87,0.241067976164935,0.487742184333706,Q6PUA2,,Q6PUA2
Pentose and glucuronate interconversions,n/a,map00040,2,152,0.0843949157233273,0.431903392231145,"Q9SYK6, A0A178VQI1",,Q9SYK6; A0A178VQI1
Galactose metabolism,n/a,map00052,5,96,1.80736428377042E-05,0.000786203463440131,"Q9LIB9, Q9FXB2, O22693, Q8RX87, Q94A08",,Q9LIB9; Q9FXB2; O22693; Q8RX87; Q94A08
MAPK signaling pathway - fly,n/a,map04013,1,100,0.271384776919557,0.472209511840029,P21276,,P21276
Proteasome,n/a,map03050,1,115,0.304867707245503,0.469442310271837,Q9FHY0,,Q9FHY0
Axon guidance,n/a,map04360,1,79,0.221789472904882,0.488498332727209,O49606,,O49606
Glutathione metabolism,n/a,map00480,1,172,0.418690313566456,0.516681663550095,Q9C6C8,,Q9C6C8
Homologous recombination,n/a,map03440,1,104,0.280467724080243,0.478444941078062,F4K493,,F4K493
Inositol phosphate metabolism,n/a,map00562,2,127,0.0621775958982348,0.416111603318956,"O82200, Q8H1S0",,O82200; Q8H1S0
Systemic lupus erythematosus,n/a,map05322,1,91,0.250527850533752,0.473824412966009,Q9FX60,,Q9FX60
Platinum drug resistance,n/a,map01524,2,115,0.0523554954050429,0.379577341686561,"Q9C6C8, Q9STG2",,Q9C6C8; Q9STG2
Ferroptosis,n/a,map04216,2,43,0.00884321185759134,0.153871886322089,"Q9C7W4, F4KGN5",,Q9C7W4; F4KGN5
Adipocytokine signaling pathway,n/a,map04920,1,36,0.1094848856599,0.432962956927785,Q9C7W4,,Q9C7W4
"Alanine, aspartate and glutamate metabolism",n/a,map00250,2,97,0.0388124297457179,0.337668138787745,"Q9S7A0, P49078",,Q9S7A0; P49078
Arginine biosynthesis,n/a,map00220,1,66,0.189414766990059,0.499366203882884,Q9S7A0,,Q9S7A0
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,1,89,0.245812706421779,0.486038760424881,Q9C6C8,,Q9C6C8
Drug metabolism - cytochrome P450,n/a,map00982,1,92,0.252874385288606,0.468086628087419,Q9C6C8,,Q9C6C8
Mineral absorption,n/a,map04978,2,29,0.00427505073964383,0.0929823535872533,"F4KGN5, Q9STG2",,F4KGN5; Q9STG2
Chemical carcinogenesis,n/a,map05204,1,84,0.233895001423826,0.48449678866364,Q9C6C8,,Q9C6C8
Sesquiterpenoid and triterpenoid biosynthesis,n/a,map00909,1,30,0.0925794508169397,0.447467345615209,Q9T0J9,,Q9T0J9
Proximal tubule bicarbonate reclamation,n/a,map04964,1,14,0.0459170142045976,0.363161839618181,Q9S7A0,,Q9S7A0
D-Glutamine and D-glutamate metabolism,n/a,map00471,1,7,0.0247568096692767,0.307691777318154,Q9S7A0,,Q9S7A0
