ID,geneName,ORF,pfam,organism,fullName,Entrez,EC,uniprot,KO,GO
Q9LNJ5,EN39,At1g01260,bHLH(429|478),Arabidopsis thaliana,Transcription factor bHLH13,,,Q9LNJ5; Q8S3F5,,GO:0005737; GO:0005634; GO:0003700; GO:0046983; GO:0000976; GO:0010629; GO:0006355
Q39056,CNX3,At1g01290,,Arabidopsis thaliana,"Cyclic pyranopterin monophosphate synthase, mitochondrial",,4.6.1.17,Q39056; Q1ECR4,K03637,GO:0009507; GO:0005759; GO:0005739; GO:0061799; GO:0006777
Q9LNJ3,APF2,At1g01300,Peptidase A1(142|480),Arabidopsis thaliana,Aspartyl protease family protein 2,,3.4.23.-,Q9LNJ3; Q8L9B9,K22683,GO:0009505; GO:0004190; GO:0080167
Q6ID87,F6F3.11,At1g01310,SCP(83|215),Arabidopsis thaliana,At1g01310,,,Q6ID87,,GO:0005615; GO:0006952; GO:0009607
Q8H2C0,At1g01320,At1g01320,,Arabidopsis thaliana,Uncharacterized protein At1g01320,,,Q8H2C0,,
Q9LNJ0,ACBK1,At1g01340,IQ(609|638),Arabidopsis thaliana,Probable cyclic nucleotide-gated ion channel 10,,,Q9LNJ0; Q9LKL3,K05391,GO:0016021; GO:0005886; GO:0005516; GO:0030552; GO:0030553; GO:0005216
Q8GX84,F6F3.14,At1g01350,,Arabidopsis thaliana,Zinc finger CCCH domain-containing protein 1,,,Q8GX84; Q9LNI9,K13127,GO:0005684; GO:0003677; GO:0046872; GO:0034247
F4HSA3,At1g01355,At1g01355,,Arabidopsis thaliana,Putative endonuclease or glycosyl hydrolase,,,F4HSA3,,GO:0005777; GO:0004519; GO:0010468
Q84MC7,PYL9,At1g01360,,Arabidopsis thaliana,Abscisic acid receptor PYL9,,,Q84MC7; Q8LA91; Q9LNI7,K14496,GO:0005737; GO:0005634; GO:0005886; GO:0010427; GO:0042803; GO:0004864; GO:0038023; GO:0009738; GO:0080163
Q8RVQ9,HTR12,At1g01370,,Arabidopsis thaliana,Histone H3-like centromeric protein HTR12,,,Q8RVQ9; Q8LCW8; Q9LNI6,K11253,GO:0000785; GO:0000775; GO:0000777; GO:0000786; GO:0005634; GO:0003677; GO:0046982; GO:0051301; GO:0034508; GO:0009567; GO:0051321; GO:0051307
Q9LNI5,ETC1,At1g01380,Myb-like(35|72),Arabidopsis thaliana,MYB-like transcription factor ETC1,,,Q9LNI5,K09422,GO:0005634; GO:0003700; GO:0000976; GO:0030154; GO:1900033; GO:0080147
Q8W4C2,UGT72B2,At1g01390,,Arabidopsis thaliana,UDP-glycosyltransferase 72B2,,2.4.1.-,Q8W4C2; Q9LNI4,K08237,GO:0005783; GO:0008194
Q9LNI3,F6F3.20,At1g01400,,Arabidopsis thaliana,F6F3.20 protein,,,Q9LNI3,,
Q9LNI1,UGT72B3,At1g01420,,Arabidopsis thaliana,UDP-glycosyltransferase 72B3,,2.4.1.-,Q9LNI1; Q681W3,K08237,GO:0005783; GO:0080043
Q84JH9,TBL25,At1g01430,,Arabidopsis thaliana,Protein trichome birefringence-like 25,,,Q84JH9; Q9LNI0,,GO:0005794; GO:0016021; GO:0016413
Q6NQ63,F6F3.24,At1g01440,zinc_ribbon_12(275|318),Arabidopsis thaliana,At1g01440,,,Q6NQ63,,GO:1900150
AT1G01448,AT1G01448,AT1G01448,,n/a,unknown,,,,,
F4HSB4,F22L4.1,At1g01450,,Arabidopsis thaliana,Protein kinase superfamily protein,,,F4HSB4,,GO:0005737; GO:0005524; GO:0004672; GO:0004712; GO:0007165
A0A178WIR0,AXX17_At1g00520,AXX17_At1g00520,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178WIR0,,GO:0016021
Q9LMN1,PIP5K10,At1g01460,PIPK(1|419),Arabidopsis thaliana,Phosphatidylinositol 4-phosphate 5-kinase 10,,2.7.1.68,Q9LMN1; O23705,K00889,GO:0016308; GO:0005524
O03983,LEA14,At1g01470,,Arabidopsis thaliana,Probable desiccation-related protein LEA14,,,O03983; Q42314,,GO:0005829; GO:0050832; GO:0009269; GO:0009644; GO:0009611
Q06402,ACS2,At1g01480,,Arabidopsis thaliana,1-aminocyclopropane-1-carboxylate synthase 2,,4.4.1.14,Q06402; Q941E7,K20772,GO:0016847; GO:0030170; GO:0009693; GO:0009835
O03982,HIPP39,At1g01490,HMA(9|57),Arabidopsis thaliana,Heavy metal-associated isoprenylated plant protein 39,,,O03982; Q7DLT7; Q9LMN0,,GO:0046872; GO:0030001
Q8GUH2,F22L4.17,At1g01500,,Arabidopsis thaliana,Uncharacterized protein At1g01500,,,Q8GUH2; O03988; O23703; Q8L9M0; Q9LMM9,,GO:0016021; GO:0004617; GO:0006520
O23702,AN,At1g01510,,Arabidopsis thaliana,C-terminal binding protein AN,,,O23702; O03984; Q7DLS3; Q93YQ6; Q948X7; Q9LMM9,,GO:0010494; GO:0005829; GO:0005874; GO:0005802; GO:0042802; GO:0019900; GO:0051287; GO:0016616; GO:0042803; GO:0043621; GO:0003714; GO:0048444; GO:0048530; GO:0031129; GO:0009965; GO:0000226; GO:0042814; GO:0007097; GO:0008360; GO:0045604; GO:0010482; GO:2000039; GO:0006970; GO:0009651; GO:0034063; GO:0010091
Q6R0H0,RVE3,At1g01520,HTH myb-type(56|110),Arabidopsis thaliana,Protein REVEILLE 3,,,Q6R0H0; O23701; Q9LMM9,,GO:0005634; GO:0003677; GO:0003700
Q3EDL4,F22L4.8,At1g01540,Protein kinase(154|431),Arabidopsis thaliana,Probable serine/threonine-protein kinase At1g01540,,2.7.11.1,Q3EDL4; O23699; Q94KD9; Q9LMM7,,GO:0016021; GO:0005886; GO:0005524; GO:0004674; GO:0046777
Q9LMM6,BPS1,At1g01550,,Arabidopsis thaliana,"Protein BPS1, chloroplastic",,,Q9LMM6,,GO:0009507; GO:0005886; GO:0009793; GO:0048364; GO:0048367
Q9LMM5,MPK11,At1g01560,Protein kinase(40|326),Arabidopsis thaliana,Mitogen-activated protein kinase 11,,2.7.11.24,Q9LMM5; B3H762,K04464,GO:0005737; GO:0005829; GO:0005634; GO:0005524; GO:0004707; GO:0035556; GO:0010468; GO:0009737
A0A384KHB2,AXX17_At1g00640,AXX17_At1g00640,,Arabidopsis thaliana,Uncharacterized protein,,,A0A384KHB2,,GO:0016021
P92949,FRO2,At1g01580,Ferric oxidoreductase(183|303),Arabidopsis thaliana,Ferric reduction oxidase 2,,1.16.1.7,P92949; Q9LMM3,K00521,GO:0016021; GO:0005886; GO:0000293; GO:0046872; GO:0006811; GO:0055072; GO:0055114; GO:0009617
Q9LMM2,FRO1,At1g01590,Ferric oxidoreductase(174|294),Arabidopsis thaliana,Probable ferric reduction oxidase 1,,1.16.1.7,Q9LMM2; P92950,K00521,GO:0016021; GO:0005886; GO:0000293; GO:0046872; GO:0006811; GO:0055114
Q9LMM1,CYP86A4,At1g01600,,Arabidopsis thaliana,Cytochrome P450 86A4,,1.14.14.1,Q9LMM1; Q8GYT6,K15398,GO:0016021; GO:0018685; GO:0070330; GO:0020037; GO:0005506; GO:0006631
Q9LMM0,GPAT4,At1g01610,,Arabidopsis thaliana,Glycerol-3-phosphate 2-O-acyltransferase 4,,2.3.1.198,Q9LMM0; Q8W4N0,K13508,GO:0016021; GO:0016020; GO:0090447; GO:0016791; GO:0102419; GO:0010143; GO:0008654
Q08733,TMPB,At1g01620,,Arabidopsis thaliana,Aquaporin PIP1-3,,,Q08733; Q8W4E5,K09872,GO:0005576; GO:0016021; GO:0005886; GO:0009506; GO:0005773; GO:0015250; GO:0009414; GO:0006833
A0A178W2W3,AXX17_At1g00700,AXX17_At1g00700,CRAL-TRIO(89|251),Arabidopsis thaliana,CRAL-TRIO domain-containing protein,,,A0A178W2W3,,
Q9LQ95,T1N6.2,At1g01640,BTB(24|94),Arabidopsis thaliana,BTB/POZ domain-containing protein At1g01640,,,Q9LQ95; Q7XA69,K10523,GO:0016567
Q0WMJ8,SPPL4,At1g01650,PA(89|170),Arabidopsis thaliana,Signal peptide peptidase-like 4,,3.4.23.-,Q0WMJ8; Q9LQ94,K09597,GO:0010008; GO:0030660; GO:0071458; GO:0071556; GO:0005765; GO:0042500; GO:0033619
P0C6E7,PUB55,At1g01660,U-box(496|568),Arabidopsis thaliana,Putative U-box domain-containing protein 55,,2.3.2.27,P0C6E7; Q9LQ93,,GO:0004842
Q8GXQ7,PUB56,At1g01670,U-box(293|365),Arabidopsis thaliana,U-box domain-containing protein 56,,2.3.2.27,Q8GXQ7; Q9LQ93,,GO:0004842
Q9LQ92,PUB54,At1g01680,U-box(232|306),Arabidopsis thaliana,U-box domain-containing protein 54,,2.3.2.27,Q9LQ92,,GO:0004842
Q0WWX5,PRD3,At1g01690,,Arabidopsis thaliana,Putative recombination initiation defects 3,,,Q0WWX5; A0A178WD31; A0A1P8AUM4; Q9LQ91,,GO:0005634; GO:0070192; GO:0048236
A0A178WAP9,At1g01695,At1g01695,DUF4378(276|420),Arabidopsis thaliana,TRM33,,,A0A178WAP9,,
AT1G04033,AT1G04033,AT1G04033,,n/a,unknown,,,,,
AT1G04037,AT1G04037,AT1G04037,,n/a,unknown,,,,,
Q9LQ89,T1N6.8,At1g01700,PRONE(107|485),Arabidopsis thaliana,Rop guanine nucleotide exchange factor 2,,,Q9LQ89,,GO:0005089
A0A178W7C0,At1g01710,At1g01710,Cyclic nucleotide-binding(15|83),Arabidopsis thaliana,Cyclic nucleotide-binding domain-containing protein,,,A0A178W7C0,K01068,GO:0047617; GO:0006637
A0A1P8AM80,At1g01715,At1g01715,,Arabidopsis thaliana,Uncharacterized protein,,,A0A1P8AM80,,
AT1G04043,AT1G04043,AT1G04043,,n/a,unknown,,,,,
Q39013,ATAF1,At1g01720,NAC(7|158),Arabidopsis thaliana,NAC domain-containing protein 2,,,Q39013; Q9LQ85,,GO:0005634; GO:0003700; GO:0019900; GO:0000976; GO:0071456; GO:0009788; GO:0009611
Q9LQ84,T1N6.13,At1g01725,,Arabidopsis thaliana,Adenylosuccinate synthetase,,,Q9LQ84,,
AT1G04047,AT1G04047,AT1G04047,,n/a,unknown,,,,,
Q9LQ83,T1N6.14,At1g01730,,Arabidopsis thaliana,T1N6.14 protein,,,Q9LQ83,,
F4HU55,BSK4,At1g01740,Protein kinase(56|322),Arabidopsis thaliana,Serine/threonine-protein kinase BSK4,,2.7.11.1,F4HU55; Q9LQ82,K14500,GO:0005576; GO:0005886; GO:0005524; GO:0004674; GO:0009742
Q9LQ81,ADF10,At1g01750,ADF-H(7|139),Arabidopsis thaliana,Actin-depolymerizing factor 10,,,Q9LQ81,K05765,GO:0015629; GO:0005737; GO:0051015; GO:0030042
AT1G04053,AT1G04053,AT1G04053,,n/a,unknown,,,,,
F4HU58,TAD1,At1g01760,A to I editase(50|417),Arabidopsis thaliana,tRNA-specific adenosine deaminase TAD1,,3.5.4.34,F4HU58; Q1PFZ4; Q9LQ80,K15440,GO:0005737; GO:0005730; GO:0005634; GO:0003726; GO:0003725; GO:0046872; GO:0042803; GO:0008251; GO:0006382; GO:0006396; GO:0006400
A0A178WEQ4,At1g01770,At1g01770,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178WEQ4,,
Q1ECF5,PLIM2B,At1g01780,LIM zinc-binding 1(8|68),Arabidopsis thaliana,LIM domain-containing protein PLIM2b,,,Q1ECF5; Q9LQ78,,GO:0015629; GO:0005737; GO:0005886; GO:0051015; GO:0046872; GO:0000976; GO:0051017
Q9ZTZ7,KEA1,At1g01790,RCK N-terminal(997|1119),Arabidopsis thaliana,"K(+) efflux antiporter 1, chloroplastic",,,Q9ZTZ7; Q9LQ76; Q9LQ77,,GO:0009507; GO:0009941; GO:0031969; GO:0005576; GO:0016021; GO:0016020; GO:0015386; GO:0009658; GO:0010109
AT1G04063,AT1G04063,AT1G04063,,n/a,unknown,,,,,
Q94K30,T1N6.22,At1g01800,,Arabidopsis thaliana,AT1G01800 protein,,,Q94K30,,GO:0005829; GO:0016020; GO:0009505; GO:0055114
Q9LQ74,T1N6.23,At1g01810,,Arabidopsis thaliana,T1N6.23,,,Q9LQ74,,
Q9LQ73,PEX11C,At1g01820,,Arabidopsis thaliana,Peroxisomal membrane protein 11C,,,Q9LQ73; Q5QT12,,GO:0005576; GO:0005779; GO:0005778; GO:0005777; GO:0009506; GO:0042802; GO:0016559; GO:0007031; GO:0044375
Q9LQ72,T1N6.25,At1g01830,,Arabidopsis thaliana,T1N6.25 protein,,,Q9LQ72,,
AT1G04067,AT1G04067,AT1G04067,,n/a,unknown,,,,,
A0A178W6N6,At1g01840,At1g01840,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178W6N6,,
O65090,PFC1,At1g01860,,Arabidopsis thaliana,"Ribosomal RNA small subunit methyltransferase, chloroplastic",,2.1.1.-,O65090; Q9LPD3; Q9LQ70,,GO:0009507; GO:0016422; GO:0003723; GO:0000179; GO:0009409; GO:0031167
AT1G04073,AT1G04073,AT1G04073,,n/a,unknown,,,,,
Q9LPD2,GEN1,At1g01880,,Arabidopsis thaliana,Flap endonuclease GEN-like 1,,3.1.-.-,Q9LPD2; F4HU72,K15338,GO:0005634; GO:0017108; GO:0008821; GO:0003677; GO:0048256; GO:0046872; GO:0006281; GO:0009555; GO:0009650
Q84WS0,SBTI1.1,At1g01900,Inhibitor I9(56|120),Arabidopsis thaliana,Subtilisin-like protease SBT1.1,,3.4.21.-,Q84WS0; Q9LPD1,,GO:0005618; GO:0031012; GO:0004252; GO:0006508
AT1G04077,AT1G04077,AT1G04077,,n/a,unknown,,,,,
Q949M9,GET3A,At1g01910,,Arabidopsis thaliana,ATPase GET3A,,3.6.-.-,Q949M9; Q56ZR6,,GO:0005829; GO:0005576; GO:0043529; GO:0005524; GO:0016887; GO:0043621; GO:0006620; GO:0045048; GO:0048767
AT1G04083,AT1G04083,AT1G04083,,n/a,unknown,,,,,
Q501D3,F22M8.5,At1g01920,SET(37|302),Arabidopsis thaliana,At1g01920,,,Q501D3,,
A0A178WFV1,At1g01930,At1g01930,ANK_REP_REGION(421|462),Arabidopsis thaliana,ANK_REP_REGION domain-containing protein,,,A0A178WFV1,,GO:0005737
Q9LPC7,CYP18-1,At1g01940,PPIase cyclophilin-type(3|153),Arabidopsis thaliana,Peptidyl-prolyl cis-trans isomerase CYP18-1,,5.2.1.8,Q9LPC7,K12734,GO:0005737; GO:0003755; GO:0006457; GO:0000413
Q9LPC6,ARK2,At1g01950,Kinesin motor(60|402),Arabidopsis thaliana,Kinesin-like protein KIN-UB,,,Q9LPC6; A9CP40; Q0WMY6,,GO:0005737; GO:0005871; GO:0005874; GO:0005524; GO:0008574; GO:0016887; GO:0008017; GO:0003777; GO:0030705; GO:0007018; GO:0032886; GO:0048364
Q9LPC5,BIG3,At1g01960,SEC7(601|788),Arabidopsis thaliana,Brefeldin A-inhibited guanine nucleotide-exchange protein 3,,,Q9LPC5,K18442,GO:0005829; GO:0005634; GO:0005802; GO:0032588; GO:0005086; GO:0009561; GO:0015031; GO:0032012; GO:0016192
Q9LPC4,F22M8.10,At1g01970,,Arabidopsis thaliana,Pentatricopeptide repeat-containing protein At1g01970,,,Q9LPC4,,
A0A178W8P6,AN1_LOCUS230,AXX17_At1g01090,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178W8P6,,
Q9LPC1,GAE2,At1g02000,,Arabidopsis thaliana,UDP-glucuronate 4-epimerase 2,,5.1.3.6,Q9LPC1; Q0WRB6; Q8LFM5,K08679,GO:0032580; GO:0016021; GO:0050378; GO:0005975
Q9C5P7,SEC1A,At1g02010,,Arabidopsis thaliana,Protein transport Sec1a,,,Q9C5P7; O23672; Q9LPC0,K15292,GO:0005886; GO:0030141; GO:0019905; GO:0006886; GO:0006904; GO:0016192
O23673,T7I23.2,At1g02020,Nitroreductase(141|294),Arabidopsis thaliana,Nitroreductase family protein,,,O23673,,GO:0009507; GO:0016491
Q39092,ZAT1,At1g02030,,Arabidopsis thaliana,Zinc finger protein ZAT1,,,Q39092,,GO:0005634; GO:0003700; GO:0046872; GO:0006355
Q3EDL3,T7I23.24,At1g02040,,Arabidopsis thaliana,At1g02040,,,Q3EDL3,,GO:0003700
O23674,PKSA,At1g02050,,Arabidopsis thaliana,Type III polyketide synthase A,,2.3.1.-,O23674; Q4JNW9,,GO:0005783; GO:0090439; GO:0009813; GO:0010584; GO:0030639; GO:0080110
O81908,T7I23.14,At1g02060,,Arabidopsis thaliana,"Pentatricopeptide repeat-containing protein At1g02060, chloroplastic",,,O81908,,GO:0009507
Q8GXL3,SPL8,At1g02065,,Arabidopsis thaliana,Squamosa promoter-binding-like protein 8,,,Q8GXL3; Q9S849,,GO:0005737; GO:0042025; GO:0005634; GO:0003677; GO:0046872; GO:0048653; GO:0030154; GO:0009554; GO:0009556
Q8LE17,At1g02070,At1g02070,,Arabidopsis thaliana,Uncharacterized protein,,,Q8LE17,,
F4HVV7,T7I23.15,At1g02080,CNOT1_HEAT(474|620),Arabidopsis thaliana,Transcription regulator,,,F4HVV7,K12604,GO:0030015; GO:0005737; GO:0005634; GO:0006417
Q94JU3,CSN7,At1g02090,,Arabidopsis thaliana,COP9 signalosome complex subunit 7,,,Q94JU3; O81247,K12180,GO:0008180; GO:0005829; GO:0010387; GO:0007275; GO:0000338; GO:0009585
Q8VY08,SBI1,At1g02100,,Arabidopsis thaliana,Leucine carboxyl methyltransferase 1 homolog,,2.1.1.233,Q8VY08; O81910; Q570N7,K15451,GO:0005737; GO:0016020; GO:0008757; GO:0032259; GO:1900458
A0A178WFK6,AN1_LOCUS244,AXX17_At1g01230,DUF630(1|59),Arabidopsis thaliana,Uncharacterized protein,,,A0A178WFK6,,
F4HVW5,VAD1,At1g02120,GRAM(70|134),Arabidopsis thaliana,"Protein VASCULAR ASSOCIATED DEATH 1, chloroplastic",,,F4HVW5,,GO:0009507; GO:0005783; GO:0005576; GO:0016021; GO:0042742; GO:0009873; GO:0043069; GO:0009626; GO:0009723; GO:0009751
P28188,ARA-5,At1g02130,,Arabidopsis thaliana,Ras-related protein RABD2a,,,P28188; Q940Z7,K07874,GO:0005576; GO:0000139; GO:0005886; GO:0032588; GO:0005773; GO:0005525; GO:0003924; GO:0006888; GO:0015031; GO:0046686
O23676,MAGO,At1g02140,,Arabidopsis thaliana,Protein mago nashi homolog,,,O23676; A0A023T774,K12877,GO:0035145; GO:0016607; GO:0005730; GO:0005654; GO:0000932; GO:0003723; GO:0009793; GO:0006397; GO:0051028; GO:0000184; GO:0010183; GO:0010628; GO:0006417; GO:0008380
A8MR93,EBS4,At1g02145,,Arabidopsis thaliana,"Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase",,2.4.1.260,A8MR93; F4HVW9; F4HVX0; Q0WT37; Q1G329; Q1G330,K03847,GO:0005783; GO:0005788; GO:0005789; GO:0016021; GO:0000009; GO:0052917; GO:0052824; GO:0000030; GO:0006488; GO:0006487; GO:0030433
Q8LPS6,T6A9.13,At1g02150,,Arabidopsis thaliana,Pentatricopeptide repeat-containing protein At1g02150,,,Q8LPS6; O23677,,GO:0009507; GO:0005739; GO:0003729
Q8VZ44,T6A9.18,At1g02160,CHCH(21|55),Arabidopsis thaliana,Cox19 family protein (CHCH motif),,,Q8VZ44,,
Q7XJE6,AMC1,At1g02170,,Arabidopsis thaliana,Metacaspase-1,,3.4.22.-,Q7XJE6; O81911,K22684,GO:0004197; GO:0006952; GO:0043068
Q8GYG8,T6A9.14,At1g02180,,Arabidopsis thaliana,Ferredoxin-like protein,,,Q8GYG8,,
F4HVX7,T7I23.9,At1g02190,Fatty acid hydroxylase(138|272),Arabidopsis thaliana,Protein CER1-like 1,,,F4HVX7; F4HVX8; O23678,K15404,GO:0005789; GO:0016021; GO:0016020; GO:0000254; GO:0005506; GO:0016491; GO:0016126
F4HVY0,CER1,At1g02205,Fatty acid hydroxylase(138|272),Arabidopsis thaliana,Very-long-chain aldehyde decarbonylase CER1,,4.1.99.5,F4HVY0; F4HVX9; O22681; O23679; Q0WV76; Q39045,K15404,GO:0005789; GO:0016021; GO:0016020; GO:1990465; GO:0000254; GO:0005506; GO:0009924; GO:0016491; GO:0043447; GO:0042742; GO:0050832; GO:0009414; GO:0016126; GO:0010025
Q5PP28,NAC003,At1g02220,NAC(3|147),Arabidopsis thaliana,NAC domain-containing protein 3,,,Q5PP28; O81912,,GO:0005634; GO:0005886; GO:0003700; GO:0000976
O81913,NAC004,At1g02230,NAC(3|151),Arabidopsis thaliana,NAC domain-containing protein 4,,,O81913; C0SUS1,,GO:0005634; GO:0003677; GO:0003700
O81914,NAC005,At1g02250,NAC(3|151),Arabidopsis thaliana,NAC domain-containing protein 5,,,O81914; C0SUS2,,GO:0005634; GO:0005886; GO:0003677; GO:0003700; GO:0010089
A0A384KQY8,AXX17_At1g01370,AXX17_At1g01370,CitMHS(24|449),Arabidopsis thaliana,CitMHS domain-containing protein,,,A0A384KQY8,,GO:0016021; GO:0055085
O81916,T6A9_9,At1g02270,EF-hand(384|419),Arabidopsis thaliana,Uncharacterized calcium-binding protein At1g02270,,,O81916; Q940T7,,GO:0016021; GO:0005634; GO:0000175; GO:0005509; GO:0009409
O23680,PPI1,At1g02280,AIG1-type G(34|258),Arabidopsis thaliana,"Translocase of chloroplast 33, chloroplastic",,3.6.5.-,O23680; Q94B42; Q9GDD3,,GO:0009507; GO:0009941; GO:0009707; GO:0005576; GO:0016021; GO:0005525; GO:0003924; GO:0042802; GO:0046872; GO:0015450; GO:0042803; GO:0045036
