	class	0.02_0	0.05_0	0.07_0	0.1_0	0.5_0	0.7_0	0.2_0	1_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF00850	+	0.000	0.000	0.000	0.000	0.072	0.145	0.000	0.157	0.000	0.000	0.000	0.000	0.000	Histone deacetylase domain	-0.065
PF05139	-	0.000	0.000	0.000	0.000	-0.117	-0.089	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Erythromycin esterase	-0.087
PF08323	-	0.000	0.000	0.000	0.000	-0.277	-0.124	-0.093	-0.144	0.000	0.000	0.000	0.000	0.000	Starch synthase catalytic domain	-0.108
PF14133	+	0.000	0.000	0.000	0.000	0.029	0.078	0.000	0.161	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4300)	-0.111
PF02133	-	0.000	0.000	0.000	0.000	-0.003	-0.038	0.000	-0.119	0.000	0.000	0.000	0.000	0.000	Permease for cytosine/purines, uracil, thiamine, allantoin	-0.111
PF07971	-	0.000	0.000	0.000	0.000	-0.096	-0.065	0.000	-0.011	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 92	-0.120
PF03309	-	0.000	0.000	0.000	0.000	-0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type III pantothenate kinase	-0.136
PF02613	+	0.000	0.000	0.000	0.000	0.088	0.004	0.000	0.045	0.000	0.000	0.000	0.000	0.000	Nitrate reductase delta subunit	-0.141
PF02127	-	0.000	0.000	0.000	0.000	-0.004	-0.028	0.000	-0.057	0.000	0.000	0.000	0.000	0.000	Aminopeptidase I zinc metalloprotease (M18)	-0.150
PF09313	-	0.000	0.000	0.000	0.000	-0.117	0.000	-0.087	-0.028	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1971)	-0.159
PF01896	-	0.000	0.000	0.000	0.000	-0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Eukaryotic and archaeal DNA primase small subunit	-0.173
PF04221	-	0.000	0.000	0.000	0.000	-0.100	-0.069	0.000	-0.054	0.000	0.000	0.000	0.000	0.000	RelB antitoxin	-0.185
PF00891	-	0.000	0.000	0.000	0.000	-0.102	-0.119	0.000	-0.126	0.000	0.000	0.000	0.000	0.000	O-methyltransferase	-0.186
PF05768	-	0.000	0.000	0.000	0.000	-0.152	-0.179	-0.047	-0.224	0.000	0.000	0.000	0.000	0.000	Glutaredoxin-like domain (DUF836)	-0.189
PF02316	-	0.000	0.000	0.000	0.000	-0.114	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Mu DNA-binding domain	-0.200
PF08843	-	0.000	0.000	0.000	-0.004	0.000	0.000	-0.011	0.000	0.000	0.000	0.000	0.000	0.000	Nucleotidyl transferase of unknown function (DUF1814)	-0.224
PF13007	-	0.000	0.000	0.000	0.000	-0.068	-0.179	0.000	-0.157	0.000	0.000	0.000	0.000	0.000	Transposase C of IS166 homeodomain	-0.284
PF13857	-	0.000	0.000	0.000	-0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ankyrin repeats (many copies)	-0.297
PF05717	-	0.000	0.000	0.000	-0.041	0.000	0.000	-0.089	0.000	0.000	0.000	0.000	0.000	0.000	IS66 Orf2 like protein	-0.306
PF13409	-	0.000	0.000	0.000	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glutathione S-transferase, N-terminal domain	-0.312
PF00877	-	0.000	0.000	0.000	0.000	-0.176	-0.133	0.000	-0.164	0.000	0.000	0.000	0.000	0.000	NlpC/P60 family	-0.319
PF02550	-	0.000	0.000	0.000	0.000	-0.143	-0.017	0.000	-0.025	0.000	0.000	0.000	0.000	0.000	Acetyl-CoA hydrolase/transferase N-terminal domain	-0.331
PF00529	-	0.000	0.000	0.000	-0.029	0.000	0.000	-0.005	0.000	0.000	0.000	0.000	0.000	0.000	HlyD family secretion protein	-0.338
PF03458	+	0.000	0.000	0.000	0.000	0.030	0.278	0.000	0.370	0.000	0.000	0.000	0.000	0.000	UPF0126 domain	-0.376
PF03480	-	0.000	0.000	0.000	0.000	-0.104	-0.089	0.000	-0.136	0.000	0.000	0.000	0.000	0.000	Bacterial extracellular solute-binding protein, family 7	-0.381
PF03748	-	0.000	0.000	0.000	0.000	-0.113	-0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Flagellar basal body-associated protein FliL	-0.386
PF13386	-	0.000	0.000	-0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome C biogenesis protein transmembrane region	-0.419
PF03264	-	0.000	0.000	0.000	-0.113	0.000	-0.084	-0.070	-0.120	0.000	0.000	0.000	0.000	0.000	NapC/NirT cytochrome c family, N-terminal region	-0.427
