	class	0.5_0	0.7_0	0.2_0	0.02_0	1_0	0.05_0	0.07_0	0.1_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF13785	+	0.280	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4178)	0.291
PF10990	+	0.071	0.293	0.000	0.000	0.233	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2809)	0.291
PF05610	+	0.374	0.000	0.467	0.000	0.000	0.000	0.200	0.305	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF779)	0.290
PF07719	+	0.060	0.080	0.000	0.000	0.160	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	0.263
PF01769	+	0.017	0.071	0.000	0.000	0.110	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Divalent cation transporter	0.260
PF14042	+	0.000	0.000	0.000	0.000	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4247)	0.251
PF01791	+	0.123	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DeoC/LacD family aldolase	0.245
PF14226	+	0.068	0.098	0.019	0.000	0.097	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	non-haem dioxygenase in morphine synthesis N-terminal	0.242
PF01008	+	0.242	0.059	0.000	0.000	0.190	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Initiation factor 2 subunit family	0.242
PF03649	+	0.000	0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family (UPF0014)	0.231
PF03729	+	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Short repeat of unknown function (DUF308)	0.227
PF13205	+	0.305	0.385	0.166	0.000	0.355	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Ig-like domain	0.225
PF06754	+	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphonate metabolism protein PhnG	0.213
PF01095	+	0.023	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pectinesterase	0.213
PF01642	+	0.000	0.000	0.082	0.000	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.000	0.000	Methylmalonyl-CoA mutase	0.207
PF10588	+	0.140	0.327	0.022	0.000	0.359	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region	0.199
PF14337	+	0.100	0.026	0.056	0.000	0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4393)	0.192
PF02239	+	0.958	1.005	0.695	0.000	1.039	0.000	0.000	0.126	0.000	0.000	0.000	0.000	0.000	Cytochrome D1 heme domain	0.192
PF13768	+	0.000	0.000	0.157	0.000	0.000	0.000	0.076	0.174	0.000	0.000	0.000	0.000	0.000	von Willebrand factor type A domain	0.187
PF09565	+	0.000	0.118	0.000	0.000	0.158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NgoFVII restriction endonuclease	0.177
PF02445	+	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Quinolinate synthetase A protein	0.171
PF08708	+	0.208	0.145	0.073	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Primase C terminal 1 (PriCT-1)	0.144
PF13380	+	0.000	0.089	0.050	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CoA binding domain	0.137
PF14606	+	0.091	0.177	0.000	0.000	0.270	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GDSL-like Lipase/Acylhydrolase family	0.132
PF04235	+	0.192	0.000	0.178	0.000	0.251	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF418)	0.130
PF02604	+	0.000	0.000	0.000	0.000	0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Antitoxin Phd_YefM, type II toxin-antitoxin system	0.123
PF03308	+	0.207	0.262	0.000	0.000	0.248	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ArgK protein	0.117
PF05076	+	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Suppressor of fused protein (SUFU)	0.116
PF05145	+	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative ammonia monooxygenase	0.102
PF02709	+	0.000	0.000	0.000	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	N-terminal domain of galactosyltransferase	0.091
PF05171	+	0.000	0.000	0.000	0.000	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Haemin-degrading HemS.ChuX domain	0.090
PF00011	+	0.076	0.000	0.000	0.000	0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hsp20/alpha crystallin family	0.083
PF00239	-	-0.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Resolvase, N terminal domain	0.082
PF09278	-	-0.013	-0.057	0.000	0.000	-0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MerR, DNA binding	0.082
PF11734	-	0.000	0.000	0.000	0.000	-0.217	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TilS substrate C-terminal domain	0.069
PF02810	-	0.000	0.000	0.000	0.000	-0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SEC-C motif	0.059
PF00909	-	-0.097	-0.103	0.000	0.000	-0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ammonium Transporter Family	0.053
PF01878	-	0.000	0.000	-0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	EVE domain	0.043
PF04466	+	0.174	0.195	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage terminase large subunit	0.032
PF04606	-	-0.160	-0.350	-0.149	0.000	-0.249	0.000	0.000	-0.022	0.000	0.000	0.000	0.000	0.000	Ogr/Delta-like zinc finger	0.019
PF14265	-	-0.015	-0.022	0.000	0.000	-0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4355)	0.016
PF03572	-	-0.084	-0.385	0.000	0.000	-0.281	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase family S41	0.007
PF01326	-	0.000	0.000	-0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyruvate phosphate dikinase, PEP/pyruvate binding domain	-0.001
PF02781	-	0.000	-0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glucose-6-phosphate dehydrogenase, C-terminal domain	-0.011
PF00479	-	-0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glucose-6-phosphate dehydrogenase, NAD binding domain	-0.011
PF04464	-	0.000	-0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase	-0.016
PF00848	-	-0.036	0.000	0.000	0.000	-0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ring hydroxylating alpha subunit (catalytic domain)	-0.017
PF13359	-	0.000	0.000	0.000	0.000	-0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DDE superfamily endonuclease	-0.046
PF13020	-	-0.086	-0.082	0.000	0.000	-0.212	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3883)	-0.059
PF08386	-	0.000	-0.018	0.000	0.000	-0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TAP-like protein	-0.064
PF06271	-	-0.024	-0.054	-0.026	0.000	-0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RDD family	-0.069
PF01906	-	-0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative heavy-metal-binding	-0.083
PF13086	-	0.000	-0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	-0.091
PF13855	-	-0.067	-0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Leucine rich repeat	-0.097
PF07905	-	-0.148	-0.241	0.000	0.000	-0.224	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Purine catabolism regulatory protein-like family	-0.097
PF00043	-	-0.227	-0.188	-0.114	0.000	0.000	0.000	0.000	-0.020	0.000	0.000	0.000	0.000	0.000	Glutathione S-transferase, C-terminal domain	-0.108
PF13766	-	-0.013	-0.023	0.000	0.000	-0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2-enoyl-CoA Hydratase C-terminal region	-0.116
PF09084	-	-0.265	-0.155	-0.156	0.000	-0.170	0.000	0.000	-0.025	0.000	0.000	0.000	0.000	0.000	NMT1/THI5 like	-0.117
PF07015	-	0.000	-0.059	0.000	0.000	-0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	VirC1 protein	-0.133
PF13435	-	0.000	-0.053	0.000	0.000	-0.198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome c554 and c-prime	-0.142
PF03023	-	0.000	0.000	-0.057	0.000	0.000	0.000	0.000	-0.091	0.000	0.000	0.000	0.000	0.000	MviN-like protein	-0.154
PF00652	-	0.000	0.000	0.000	0.000	-0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ricin-type beta-trefoil lectin domain	-0.160
PF13088	-	-0.203	-0.177	-0.124	0.000	0.000	0.000	0.000	-0.038	0.000	0.000	0.000	0.000	0.000	BNR repeat-like domain	-0.168
PF07158	-	-0.050	0.000	0.000	0.000	-0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dicarboxylate carrier protein MatC N-terminus	-0.177
PF13754	-	-0.059	-0.073	-0.057	0.000	-0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Ig-like domain (group 3)	-0.184
PF07655	-	-0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Secretin N-terminal domain	-0.194
PF04011	-	-0.016	-0.162	0.000	0.000	-0.104	0.000	-0.024	-0.037	0.000	0.000	0.000	0.000	0.000	LemA family	-0.209
PF01764	-	-0.159	-0.219	-0.114	0.000	-0.184	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Lipase (class 3)	-0.254
PF10076	-	-0.076	-0.146	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2313)	-0.258
PF07510	-	-0.099	-0.089	-0.141	0.000	-0.139	0.000	0.000	-0.029	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1524)	-0.272
