	class	0.1_0	0.07_0	0.05_0	0.02_0	0.2_0	1_0	0.7_0	0.5_0	0.01_0	0.001_0	0.002_0	0.005_0	0.007_0	Pfam_desc	cor
PF03606	+	0.149	0.068	0.000	0.000	0.243	0.315	0.232	0.324	0.000	0.000	0.000	0.000	0.000	C4-dicarboxylate anaerobic carrier	0.103
PF03595	+	0.045	0.027	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Voltage-dependent anion channel	0.102
PF04131	+	0.048	0.000	0.000	0.000	0.204	0.416	0.348	0.420	0.000	0.000	0.000	0.000	0.000	Putative N-acetylmannosamine-6-phosphate epimerase	0.095
PF00176	+	0.000	0.000	0.000	0.000	0.014	0.117	0.072	0.045	0.000	0.000	0.000	0.000	0.000	SNF2 family N-terminal domain	0.087
PF00079	+	0.074	0.000	0.000	0.000	0.152	0.157	0.250	0.236	0.000	0.000	0.000	0.000	0.000	Serpin (serine protease inhibitor)	0.083
PF09360	+	0.053	0.000	0.000	0.000	0.130	0.263	0.190	0.209	0.000	0.000	0.000	0.000	0.000	Iron-binding zinc finger CDGSH type	0.082
PF01613	+	0.042	0.000	0.000	0.000	0.129	0.332	0.284	0.321	0.000	0.000	0.000	0.000	0.000	Flavin reductase like domain	0.081
PF13787	+	0.013	0.000	0.000	0.000	0.169	0.132	0.339	0.132	0.000	0.000	0.000	0.000	0.000	Protein of unknown function with HXXEE motif	0.077
PF05025	+	0.000	0.000	0.000	0.000	0.023	0.000	0.124	0.130	0.000	0.000	0.000	0.000	0.000	RbsD / FucU transport protein family	0.076
PF00150	+	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cellulase (glycosyl hydrolase family 5)	0.075
PF12229	+	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative peptidoglycan binding domain	0.072
PF00662	+	0.032	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	0.072
PF00494	+	0.058	0.057	0.031	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Squalene/phytoene synthase	0.071
PF03807	+	0.105	0.000	0.000	0.000	0.291	0.573	0.504	0.387	0.000	0.000	0.000	0.000	0.000	NADP oxidoreductase coenzyme F420-dependent	0.068
PF02733	+	0.165	0.111	0.032	0.000	0.209	0.376	0.258	0.191	0.000	0.000	0.000	0.000	0.000	Dak1 domain	0.068
PF05359	+	0.000	0.000	0.000	0.000	0.001	0.265	0.121	0.277	0.000	0.000	0.000	0.000	0.000	Domain of Unknown Function (DUF748)	0.067
PF04338	+	0.095	0.018	0.000	0.000	0.264	0.392	0.447	0.407	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF481	0.061
PF00361	+	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NADH-Ubiquinone/plastoquinone (complex I), various chains	0.060
PF06888	+	0.183	0.000	0.000	0.000	0.513	0.910	0.827	0.728	0.000	0.000	0.000	0.000	0.000	Putative Phosphatase	0.057
PF00652	+	0.000	0.000	0.000	0.000	0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ricin-type beta-trefoil lectin domain	0.048
PF10399	+	0.038	0.000	0.000	0.000	0.139	0.178	0.000	0.320	0.000	0.000	0.000	0.000	0.000	Ubiquitinol-cytochrome C reductase Fe-S subunit TAT signal	0.046
PF04107	+	0.058	0.032	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glutamate-cysteine ligase family 2(GCS2)	0.040
PF00011	+	0.000	0.055	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hsp20/alpha crystallin family	0.039
PF08218	-	0.000	0.000	0.000	0.000	-0.107	0.000	-0.148	0.000	0.000	0.000	0.000	0.000	0.000	Citrate lyase ligase C-terminal domain	0.033
PF07484	+	0.063	0.040	0.000	0.000	0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage Tail Collar Domain	0.031
PF08668	+	0.052	0.026	0.000	0.000	0.079	0.148	0.188	0.128	0.000	0.000	0.000	0.000	0.000	HDOD domain	0.023
PF13563	+	0.000	0.000	0.000	0.000	0.059	0.057	0.109	0.045	0.000	0.000	0.000	0.000	0.000	2'-5' RNA ligase superfamily	0.022
PF00801	+	0.111	0.073	0.000	0.000	0.063	0.090	0.114	0.084	0.000	0.000	0.000	0.000	0.000	PKD domain	0.022
PF02167	+	0.000	0.000	0.000	0.000	0.037	0.357	0.329	0.089	0.000	0.000	0.000	0.000	0.000	Cytochrome C1 family	0.017
PF00145	+	0.034	0.000	0.000	0.000	0.143	0.164	0.230	0.164	0.000	0.000	0.000	0.000	0.000	C-5 cytosine-specific DNA methylase	0.006
PF09411	+	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Lipid A 3-O-deacylase (PagL)	0.006
PF00329	+	0.004	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Respiratory-chain NADH dehydrogenase, 30 Kd subunit	0.001
PF02705	+	0.000	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	K+ potassium transporter	-0.008
PF05014	+	0.000	0.000	0.000	0.000	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nucleoside 2-deoxyribosyltransferase	-0.011
PF03412	-	0.000	0.000	0.000	0.000	-0.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase C39 family	-0.012
PF05962	+	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HutD	-0.013
PF14305	+	0.042	0.000	0.000	0.000	0.112	0.154	0.036	0.000	0.000	0.000	0.000	0.000	0.000	TupA-like ATPgrasp	-0.025
PF07508	-	0.000	0.000	0.000	0.000	-0.045	-0.017	0.000	-0.112	0.000	0.000	0.000	0.000	0.000	Recombinase	-0.027
PF01609	+	0.004	0.000	0.000	0.000	0.095	0.090	0.050	0.051	0.000	0.000	0.000	0.000	0.000	Transposase DDE domain	-0.033
PF13248	+	0.026	0.000	0.000	0.000	0.071	0.000	0.083	0.037	0.000	0.000	0.000	0.000	0.000	zinc-ribbon domain	-0.038
PF07523	+	0.000	0.000	0.000	0.000	0.027	0.200	0.242	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Ig-like domain (group 3)	-0.039
PF01863	+	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function DUF45	-0.048
PF00872	+	0.000	0.000	0.000	0.000	0.004	0.094	0.026	0.089	0.000	0.000	0.000	0.000	0.000	Transposase, Mutator family	-0.060
PF05724	+	0.000	0.000	0.000	0.000	0.043	0.000	0.228	0.000	0.000	0.000	0.000	0.000	0.000	Thiopurine S-methyltransferase (TPMT)	-0.061
PF00082	-	0.000	0.000	0.000	0.000	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Subtilase family	-0.061
PF01306	+	0.000	0.000	0.000	0.000	0.020	0.000	0.015	0.107	0.000	0.000	0.000	0.000	0.000	LacY proton/sugar symporter	-0.070
PF10979	-	0.000	0.000	0.000	0.000	-0.063	-0.242	-0.170	-0.277	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2786)	-0.087
PF13477	-	0.000	0.000	0.000	0.000	-0.038	-0.016	-0.058	-0.027	0.000	0.000	0.000	0.000	0.000	Glycosyl transferase 4-like	-0.087
PF13840	-	0.000	0.000	0.000	0.000	-0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ACT domain	-0.098
PF00211	-	0.000	0.000	0.000	0.000	-0.025	-0.251	-0.129	-0.138	0.000	0.000	0.000	0.000	0.000	Adenylate and Guanylate cyclase catalytic domain	-0.100
PF04277	-	0.000	0.000	0.000	0.000	-0.033	0.000	0.000	-0.095	0.000	0.000	0.000	0.000	0.000	Oxaloacetate decarboxylase, gamma chain	-0.108
PF13483	-	0.000	0.000	0.000	0.000	-0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Beta-lactamase superfamily domain	-0.112
PF13936	+	0.000	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	-0.114
PF01874	-	0.000	0.000	0.000	0.000	-0.056	-0.252	-0.182	-0.235	0.000	0.000	0.000	0.000	0.000	ATP:dephospho-CoA triphosphoribosyl transferase	-0.115
PF07005	+	0.000	0.000	0.000	0.000	0.011	0.150	0.147	0.089	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF1537	-0.121
PF13599	-	0.000	0.000	0.000	0.000	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pentapeptide repeats (9 copies)	-0.124
PF02275	-	0.000	0.000	0.000	0.000	-0.034	-0.210	-0.257	-0.195	0.000	0.000	0.000	0.000	0.000	Linear amide C-N hydrolases, choloylglycine hydrolase family	-0.127
PF02310	+	0.000	0.000	0.000	0.000	0.017	0.130	0.045	0.194	0.000	0.000	0.000	0.000	0.000	B12 binding domain	-0.138
PF01593	-	0.000	0.000	0.000	0.000	-0.012	-0.180	-0.248	-0.164	0.000	0.000	0.000	0.000	0.000	Flavin containing amine oxidoreductase	-0.139
PF13727	-	0.000	0.000	0.000	0.000	-0.064	-0.195	-0.227	-0.160	0.000	0.000	0.000	0.000	0.000	CoA-binding domain	-0.143
PF00903	-	-0.068	0.000	0.000	0.000	-0.157	-0.318	-0.276	-0.231	0.000	0.000	0.000	0.000	0.000	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	-0.146
PF04493	-	0.000	0.000	0.000	0.000	-0.010	0.000	-0.195	-0.187	0.000	0.000	0.000	0.000	0.000	Endonuclease V	-0.156
PF04230	-	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	-0.073	0.000	0.000	0.000	0.000	0.000	Polysaccharide pyruvyl transferase	-0.156
PF02391	-	0.000	0.000	0.000	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MoaE protein	-0.158
PF13278	-	-0.004	0.000	0.000	0.000	-0.090	-0.216	-0.109	-0.113	0.000	0.000	0.000	0.000	0.000	Putative amidotransferase	-0.162
PF04266	-	-0.021	0.000	0.000	0.000	-0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ASCH domain	-0.167
PF03605	-	0.000	0.000	0.000	0.000	-0.062	0.000	-0.109	0.000	0.000	0.000	0.000	0.000	0.000	Anaerobic c4-dicarboxylate membrane transporter	-0.169
PF03096	-	-0.053	-0.008	0.000	0.000	-0.147	-0.153	-0.190	-0.116	0.000	0.000	0.000	0.000	0.000	Ndr family	-0.177
PF04909	-	-0.098	-0.066	-0.026	0.000	-0.101	-0.083	-0.108	-0.108	0.000	0.000	0.000	0.000	0.000	Amidohydrolase	-0.177
PF06414	-	0.000	0.000	0.000	0.000	-0.037	-0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Zeta toxin	-0.181
PF01507	-	-0.050	0.000	0.000	0.000	-0.083	-0.217	-0.106	-0.169	0.000	0.000	0.000	0.000	0.000	Phosphoadenosine phosphosulfate reductase family	-0.182
PF02230	-	-0.083	-0.039	0.000	0.000	-0.179	-0.101	-0.061	-0.139	0.000	0.000	0.000	0.000	0.000	Phospholipase/Carboxylesterase	-0.182
PF05704	-	0.000	0.000	0.000	0.000	-0.090	-0.049	-0.052	-0.045	0.000	0.000	0.000	0.000	0.000	Capsular polysaccharide synthesis protein	-0.182
PF06039	-	-0.070	0.000	0.000	0.000	-0.144	0.000	-0.028	-0.098	0.000	0.000	0.000	0.000	0.000	Malate:quinone oxidoreductase (Mqo)	-0.184
PF12821	-	-0.044	0.000	0.000	0.000	0.000	0.000	0.000	-0.029	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3815)	-0.184
PF06738	-	0.000	0.000	0.000	0.000	-0.094	-0.124	-0.052	-0.147	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1212)	-0.184
PF04608	-	-0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphatidylglycerophosphatase A	-0.189
PF02737	-	-0.110	-0.095	-0.040	0.000	-0.086	-0.090	-0.106	-0.088	0.000	0.000	0.000	0.000	0.000	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	-0.192
PF01276	-	0.000	0.000	0.000	0.000	-0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Orn/Lys/Arg decarboxylase, major domain	-0.201
PF04014	-	-0.114	-0.063	0.000	0.000	-0.135	-0.147	-0.213	-0.183	0.000	0.000	0.000	0.000	0.000	Antidote-toxin recognition MazE	-0.204
PF02550	-	-0.100	-0.025	0.000	0.000	-0.195	-0.009	-0.175	-0.227	0.000	0.000	0.000	0.000	0.000	Acetyl-CoA hydrolase/transferase N-terminal domain	-0.215
PF04471	-	-0.024	-0.003	0.000	0.000	-0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Restriction endonuclease	-0.230
PF04655	-	-0.002	0.000	0.000	0.000	-0.176	-0.360	-0.260	0.000	0.000	0.000	0.000	0.000	0.000	Aminoglycoside/hydroxyurea antibiotic resistance kinase	-0.236
PF12974	-	-0.092	-0.106	-0.084	0.000	-0.019	-0.024	-0.028	-0.090	0.000	0.000	0.000	0.000	0.000	ABC transporter, phosphonate, periplasmic substrate-binding protein	-0.239
PF13536	-	-0.002	0.000	0.000	0.000	-0.087	-0.129	-0.165	-0.190	0.000	0.000	0.000	0.000	0.000	Multidrug resistance efflux transporter	-0.241
PF13580	-	-0.086	-0.110	-0.057	0.000	-0.052	-0.039	-0.110	-0.148	0.000	0.000	0.000	0.000	0.000	SIS domain	-0.247
PF07511	-	0.000	0.000	0.000	0.000	-0.096	-0.182	0.000	-0.204	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1525)	-0.247
PF14552	-	-0.132	-0.075	0.000	0.000	-0.194	-0.154	-0.176	-0.160	0.000	0.000	0.000	0.000	0.000	Tautomerase enzyme	-0.248
PF04204	-	-0.071	0.000	0.000	0.000	-0.252	-0.219	-0.430	-0.319	0.000	0.000	0.000	0.000	0.000	Homoserine O-succinyltransferase	-0.251
PF03775	-	-0.125	-0.028	0.000	0.000	-0.276	-0.421	-0.237	-0.378	0.000	0.000	0.000	0.000	0.000	Septum formation inhibitor MinC, C-terminal domain	-0.251
PF00591	-	-0.145	-0.148	-0.158	0.000	-0.072	-0.201	-0.181	-0.065	0.000	0.000	0.000	0.000	0.000	Glycosyl transferase family, a/b domain	-0.277
PF01548	-	0.000	0.000	0.000	0.000	-0.025	-0.265	0.000	-0.070	0.000	0.000	0.000	0.000	0.000	Transposase	-0.284
PF01208	-	0.000	-0.038	-0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uroporphyrinogen decarboxylase (URO-D)	-0.300
PF07282	-	-0.124	-0.073	0.000	0.000	-0.116	-0.165	-0.101	-0.109	0.000	0.000	0.000	0.000	0.000	Putative transposase DNA-binding domain	-0.306
PF08267	-	-0.011	0.000	0.000	0.000	-0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cobalamin-independent synthase, N-terminal domain	-0.312
PF14529	-	-0.174	-0.137	-0.074	0.000	-0.226	-0.352	-0.347	-0.292	0.000	0.000	0.000	0.000	0.000	Endonuclease-reverse transcriptase	-0.328
PF04715	-	-0.191	-0.170	-0.122	0.000	-0.086	0.000	0.000	-0.100	0.000	0.000	0.000	0.000	0.000	Anthranilate synthase component I, N terminal region	-0.404
