	class	0.7_0	0.2_0	0.5_0	0.1_0	1_0	0.07_0	0.05_0	0.02_0	0.01_0	0.001_0	0.002_0	0.005_0	0.007_0	Pfam_desc	cor
PF02446	+	0.140	0.000	0.082	0.000	0.199	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4-alpha-glucanotransferase	0.358
PF04657	+	0.197	0.183	0.184	0.110	0.231	0.093	0.056	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF606	0.347
PF00145	+	0.000	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	C-5 cytosine-specific DNA methylase	0.344
PF02839	+	0.162	0.110	0.146	0.034	0.126	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Carbohydrate binding domain	0.335
PF11863	+	0.270	0.135	0.240	0.062	0.549	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3383)	0.334
PF04257	+	0.256	0.166	0.261	0.095	0.271	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Exodeoxyribonuclease V, gamma subunit	0.333
PF11175	+	0.170	0.000	0.090	0.000	0.108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2961)	0.321
PF08402	+	0.000	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TOBE domain	0.321
PF00190	+	0.054	0.020	0.000	0.000	0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cupin	0.320
PF02447	+	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GntP family permease	0.316
PF02554	+	0.006	0.000	0.013	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Carbon starvation protein CstA	0.316
PF04463	+	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF523)	0.310
PF13740	+	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ACT domain	0.309
PF14549	+	0.087	0.057	0.000	0.000	0.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA-binding transcriptional regulator Cro	0.306
PF01139	+	0.354	0.207	0.331	0.162	0.405	0.120	0.076	0.000	0.000	0.000	0.000	0.000	0.000	tRNA-splicing ligase RtcB	0.303
PF01548	+	0.059	0.000	0.081	0.000	0.160	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase	0.300
PF13539	+	0.000	0.000	0.000	0.033	0.000	0.027	0.044	0.000	0.000	0.000	0.000	0.000	0.000	D-alanyl-D-alanine carboxypeptidase	0.296
PF00135	+	0.015	0.000	0.000	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Carboxylesterase family	0.294
PF12889	+	0.144	0.063	0.061	0.000	0.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3829)	0.284
PF04551	+	0.000	0.000	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GcpE protein	0.279
PF12696	+	0.254	0.182	0.186	0.105	0.176	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TraM recognition site of TraD and TraG	0.278
PF04951	+	0.430	0.000	0.426	0.204	0.448	0.124	0.019	0.000	0.000	0.000	0.000	0.000	0.000	D-aminopeptidase	0.277
PF07876	+	0.297	0.158	0.110	0.000	0.227	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stress responsive A/B Barrel Domain	0.265
PF00657	+	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GDSL-like Lipase/Acylhydrolase	0.260
PF13262	+	0.196	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF4054)	0.247
PF01730	+	0.000	0.000	0.000	0.019	0.089	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	UreF	0.243
PF12846	+	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA-like domain	0.241
PF00848	-	-0.010	0.000	0.000	0.000	-0.104	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ring hydroxylating alpha subunit (catalytic domain)	0.241
PF02814	+	0.094	0.086	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	UreE urease accessory protein, N-terminal domain	0.241
PF12727	+	0.173	0.058	0.198	0.000	0.251	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PBP superfamily domain	0.240
PF00699	+	0.000	0.000	0.000	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Urease beta subunit	0.234
PF00547	+	0.000	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Urease, gamma subunit	0.234
PF00449	+	0.078	0.087	0.147	0.079	0.029	0.085	0.064	0.000	0.000	0.000	0.000	0.000	0.000	Urease alpha-subunit, N-terminal domain	0.234
PF02534	+	0.053	0.000	0.017	0.000	0.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type IV secretory system Conjugative DNA transfer	0.225
PF01590	-	0.000	-0.044	0.000	-0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GAF domain	0.224
PF03969	-	0.000	0.000	0.000	0.000	-0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AFG1-like ATPase	0.222
PF13088	+	0.000	0.000	0.034	0.000	0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	BNR repeat-like domain	0.221
PF05194	+	0.000	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	UreE urease accessory protein, C-terminal domain	0.221
PF10503	+	0.670	0.608	0.687	0.418	0.620	0.291	0.179	0.000	0.000	0.000	0.000	0.000	0.000	Esterase PHB depolymerase	0.220
PF11367	-	-0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3168)	0.220
PF00781	+	0.179	0.096	0.222	0.045	0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Diacylglycerol kinase catalytic domain	0.217
PF02152	-	0.000	0.000	-0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dihydroneopterin aldolase	0.213
PF11066	-	-0.085	0.000	0.000	0.000	-0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2867)	0.211
PF13189	+	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytidylate kinase-like family	0.210
PF13484	-	-0.217	-0.063	-0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4Fe-4S double cluster binding domain	0.210
PF13310	+	0.236	0.136	0.123	0.067	0.127	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Virulence protein RhuM family	0.208
PF10417	-	-0.301	-0.128	-0.214	0.000	-0.359	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	C-terminal domain of 1-Cys peroxiredoxin	0.205
PF13620	+	0.046	0.112	0.132	0.000	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Carboxypeptidase regulatory-like domain	0.204
PF05532	+	0.000	0.000	0.000	0.000	0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CsbD-like	0.202
PF13683	-	0.000	0.000	0.000	0.000	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Integrase core domain	0.191
PF03781	-	-0.050	0.000	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sulfatase-modifying factor enzyme 1	0.189
PF13348	-	0.000	0.000	-0.128	0.000	-0.257	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tyrosine phosphatase family C-terminal region	0.186
PF00665	-	0.000	0.000	0.000	0.000	-0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Integrase core domain	0.182
PF00255	-	-0.366	-0.176	-0.256	-0.045	-0.486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glutathione peroxidase	0.181
PF10994	-	0.000	0.000	-0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2817)	0.178
PF01427	-	-0.205	-0.194	-0.257	-0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	D-ala-D-ala dipeptidase	0.174
PF02915	+	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Rubrerythrin	0.172
PF03096	-	0.000	0.000	0.000	0.000	-0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ndr family	0.172
PF12500	-	-0.097	0.000	0.000	0.000	-0.089	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TRSP domain C terminus to PRTase_2	0.170
PF01654	-	0.000	0.000	0.000	0.000	-0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Cytochrome Ubiquinol Oxidase	0.169
PF01520	-	-0.142	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	N-acetylmuramoyl-L-alanine amidase	0.169
PF13192	+	0.211	0.086	0.162	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thioredoxin domain	0.168
PF13006	-	-0.418	0.000	-0.279	0.000	-0.444	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Insertion element 4 transposase N-terminal	0.166
PF08378	-	0.000	0.000	0.000	0.000	-0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nuclease-related domain	0.165
PF04854	+	0.152	0.300	0.229	0.084	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF624	0.163
PF00925	-	0.000	0.000	0.000	-0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GTP cyclohydrolase II	0.156
PF02322	-	-0.118	-0.093	-0.089	-0.003	-0.156	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome oxidase subunit II	0.154
PF14335	+	0.000	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4391)	0.153
PF15617	-	0.000	0.000	-0.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	C-C_Bond_Lyase of the TIM-Barrel fold	0.153
PF00420	-	0.000	0.000	0.000	0.000	-0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	0.152
PF09997	-	0.000	-0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted membrane protein (DUF2238)	0.149
PF08843	+	0.171	0.084	0.145	0.004	0.169	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nucleotidyl transferase of unknown function (DUF1814)	0.145
PF00201	-	-0.250	-0.049	-0.237	0.000	-0.239	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	UDP-glucoronosyl and UDP-glucosyl transferase	0.143
PF03417	+	0.000	0.000	0.008	0.000	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase	0.139
PF11870	-	0.000	0.000	-0.019	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3390)	0.139
PF03050	-	0.000	-0.170	-0.189	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase IS66 family	0.136
PF05154	+	0.000	0.000	0.042	0.049	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TM2 domain	0.131
PF02416	-	0.000	-0.038	0.000	0.000	-0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	mttA/Hcf106 family	0.130
PF08643	-	0.000	0.000	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fungal family of unknown function (DUF1776)	0.123
PF13455	-	0.000	0.000	0.000	0.000	-0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Meiotically up-regulated gene 113	0.115
PF08751	-	-0.027	0.000	0.000	0.000	-0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TrwC relaxase	0.109
PF07719	-	-0.028	0.000	0.000	0.000	-0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	0.109
PF14056	+	0.000	0.000	0.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4250)	0.108
PF00908	-	-0.049	-0.032	-0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	dTDP-4-dehydrorhamnose 3,5-epimerase	0.108
PF00545	-	0.000	0.000	0.000	0.000	-0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ribonuclease	0.101
PF00296	-	-0.036	0.000	-0.070	0.000	-0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Luciferase-like monooxygenase	0.096
PF00350	-	-0.169	-0.108	-0.132	0.000	-0.185	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dynamin family	0.094
PF13166	+	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	0.091
PF10418	+	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B	0.087
PF05729	-	-0.043	0.000	-0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NACHT domain	0.085
PF10881	-	-0.191	-0.121	-0.163	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2726)	0.084
PF01593	-	0.000	0.000	0.000	0.000	-0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Flavin containing amine oxidoreductase	0.080
PF02129	-	-0.258	-0.232	-0.242	-0.134	-0.302	-0.089	-0.015	0.000	0.000	0.000	0.000	0.000	0.000	X-Pro dipeptidyl-peptidase (S15 family)	0.079
PF02275	+	0.000	0.000	0.113	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Linear amide C-N hydrolases, choloylglycine hydrolase family	0.078
PF13424	-	0.000	0.000	-0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	0.076
PF00092	-	0.000	0.000	-0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	von Willebrand factor type A domain	0.074
PF01773	-	-0.004	0.000	0.000	0.000	-0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Na+ dependent nucleoside transporter N-terminus	0.071
PF07662	-	0.000	0.000	0.000	0.000	-0.157	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Na+ dependent nucleoside transporter C-terminus	0.071
PF13467	-	0.000	0.000	-0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribbon-helix-helix domain	0.066
PF08388	-	-0.169	0.000	-0.061	0.000	-0.282	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Group II intron, maturase-specific domain	0.064
PF13610	-	-0.180	-0.067	-0.097	-0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DDE domain	0.061
PF04454	+	0.000	0.000	0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Encapsulating protein for peroxidase	0.059
PF00994	-	-0.032	0.000	-0.125	-0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Probable molybdopterin binding domain	0.059
PF01925	-	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sulfite exporter TauE/SafE	0.059
PF03205	-	0.000	0.000	-0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Molybdopterin guanine dinucleotide synthesis protein B	0.053
PF03611	-	0.000	0.000	-0.080	0.000	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PTS system sugar-specific permease component	0.048
PF13408	-	-0.076	0.000	0.000	0.000	-0.108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Recombinase zinc beta ribbon domain	0.039
PF00801	-	-0.071	0.000	0.000	0.000	-0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PKD domain	0.035
PF05708	-	-0.014	0.000	-0.027	0.000	-0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Orthopoxvirus protein of unknown function (DUF830)	0.033
PF08840	-	-0.177	-0.043	-0.091	0.000	-0.306	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	BAAT / Acyl-CoA thioester hydrolase C terminal	0.022
PF03444	+	0.051	0.066	0.005	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Winged helix-turn-helix transcription repressor, HrcA DNA-binding	0.020
PF03432	-	-0.111	-0.027	-0.045	0.000	-0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Relaxase/Mobilisation nuclease domain	0.020
PF01641	-	-0.111	0.000	-0.139	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SelR domain	0.018
PF00210	-	0.000	0.000	0.000	0.000	-0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ferritin-like domain	0.014
PF01555	-	0.000	-0.016	-0.053	0.000	-0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA methylase	0.012
PF01609	-	0.000	-0.093	-0.022	-0.077	0.000	-0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase DDE domain	0.008
PF13635	+	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4143)	0.007
PF14256	+	0.114	0.000	0.000	0.000	0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YwiC-like protein	0.005
PF03916	-	-0.186	-0.039	-0.127	0.000	-0.159	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Polysulphide reductase, NrfD	0.004
PF07726	-	0.000	0.000	-0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ATPase family associated with various cellular activities (AAA)	-0.002
PF13791	+	0.000	0.000	0.113	0.000	0.307	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sigma factor regulator C-terminal	-0.004
PF03610	-	0.000	0.000	-0.035	0.000	-0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PTS system fructose IIA component	-0.005
PF12206	+	0.000	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3599)	-0.008
PF00444	-	0.000	0.000	-0.033	-0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribosomal protein L36	-0.012
PF00565	-	0.000	0.000	0.000	-0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Staphylococcal nuclease homologue	-0.014
PF11997	-	0.000	0.000	0.000	0.000	-0.189	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3492)	-0.018
PF14588	-	-0.098	0.000	-0.006	0.000	-0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YjgF/chorismate_mutase-like, putative endoribonuclease	-0.023
PF02867	-	0.000	0.000	0.000	-0.089	0.000	-0.118	-0.059	0.000	0.000	0.000	0.000	0.000	0.000	Ribonucleotide reductase, barrel domain	-0.024
PF12895	-	0.000	0.000	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Anaphase-promoting complex, cyclosome, subunit 3	-0.024
PF04480	-	-0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF559)	-0.024
PF13672	-	0.000	0.000	-0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein phosphatase 2C	-0.031
PF13766	-	0.000	-0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2-enoyl-CoA Hydratase C-terminal region	-0.033
PF01633	-	0.000	-0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Choline/ethanolamine kinase	-0.036
PF03595	-	-0.101	-0.062	-0.070	-0.038	-0.102	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Voltage-dependent anion channel	-0.037
