	class	0.2_0	0.1_0	0.07_0	0.05_0	0.7_0	0.5_0	1_0	0.02_0	0.01_0	0.007_0	0.001_0	0.002_0	0.005_0	Pfam_desc	cor
PF08818	+	0.013	0.026	0.034	0.048	0.010	0.002	0.072	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DU1801)	0.125
PF03354	+	0.000	0.005	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage Terminase	0.124
PF03070	+	0.000	0.000	0.000	0.000	0.025	0.000	0.071	0.000	0.000	0.000	0.000	0.000	0.000	TENA/THI-4/PQQC family	0.124
PF01447	-	0.000	0.000	0.000	0.000	-0.003	0.000	-0.011	0.000	0.000	0.000	0.000	0.000	0.000	Thermolysin metallopeptidase, catalytic domain	0.120
PF13676	+	0.043	0.000	0.000	0.000	0.136	0.129	0.093	0.000	0.000	0.000	0.000	0.000	0.000	TIR domain	0.115
PF05119	+	0.110	0.012	0.000	0.000	0.024	0.064	0.170	0.000	0.000	0.000	0.000	0.000	0.000	Phage terminase, small subunit	0.115
PF00221	-	-0.081	0.000	0.000	0.000	-0.073	-0.099	-0.075	0.000	0.000	0.000	0.000	0.000	0.000	Aromatic amino acid lyase	0.112
PF04020	+	0.073	0.000	0.000	0.000	0.051	0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Membrane protein of unknown function	0.112
PF00484	-	-0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Carbonic anhydrase	0.111
PF13533	-	-0.056	-0.044	-0.017	0.000	0.000	-0.006	-0.060	0.000	0.000	0.000	0.000	0.000	0.000	Biotin-lipoyl like	0.111
PF01476	-	0.000	-0.040	-0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LysM domain	0.109
PF02868	-	0.000	0.000	0.000	0.000	-0.019	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thermolysin metallopeptidase, alpha-helical domain	0.109
PF00670	-	0.000	0.000	0.000	0.000	-0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	0.104
PF06277	-	0.000	0.000	0.000	0.000	-0.018	-0.008	-0.053	0.000	0.000	0.000	0.000	0.000	0.000	Ethanolamine utilisation protein EutA	0.102
PF13768	+	0.000	0.000	0.000	0.000	0.057	0.060	0.144	0.000	0.000	0.000	0.000	0.000	0.000	von Willebrand factor type A domain	0.098
PF04909	-	-0.040	0.000	0.000	0.000	-0.120	-0.079	-0.205	0.000	0.000	0.000	0.000	0.000	0.000	Amidohydrolase	0.097
PF13597	+	0.000	0.000	0.000	0.000	0.022	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	Anaerobic ribonucleoside-triphosphate reductase	0.093
PF00728	-	-0.046	0.000	0.000	0.000	-0.141	-0.126	-0.132	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 20, catalytic domain	0.093
PF04586	+	0.046	0.000	0.000	0.000	0.125	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Caudovirus prohead protease	0.093
PF11896	+	0.020	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3416)	0.091
PF05050	+	0.016	0.000	0.000	0.000	0.031	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	Methyltransferase FkbM domain	0.091
PF02040	-	-0.150	-0.028	0.000	0.000	-0.193	-0.195	-0.147	0.000	0.000	0.000	0.000	0.000	0.000	Arsenical pump membrane protein	0.076
PF01613	-	-0.029	-0.012	0.000	0.000	-0.045	-0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Flavin reductase like domain	0.075
PF10672	-	0.000	-0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	S-adenosylmethionine-dependent methyltransferase	0.073
PF13514	+	0.090	0.094	0.048	0.000	0.052	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	0.072
PF01814	-	-0.030	0.000	0.000	0.000	-0.029	-0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hemerythrin HHE cation binding domain	0.071
PF13621	-	0.000	0.000	0.000	0.000	-0.166	-0.135	-0.287	0.000	0.000	0.000	0.000	0.000	0.000	Cupin-like domain	0.070
PF03744	+	0.067	0.000	0.000	0.000	0.121	0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6-carboxyhexanoate--CoA ligase	0.070
PF01243	-	0.000	-0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyridoxamine 5'-phosphate oxidase	0.066
PF08392	+	0.011	0.000	0.000	0.000	0.045	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FAE1/Type III polyketide synthase-like protein	0.057
PF02424	-	-0.062	0.000	0.000	0.000	-0.217	-0.198	-0.396	0.000	0.000	0.000	0.000	0.000	0.000	ApbE family	0.056
PF01074	-	-0.035	0.000	0.000	0.000	0.000	-0.033	-0.070	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 38 N-terminal domain	0.055
PF13519	-	-0.024	0.000	0.000	0.000	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	von Willebrand factor type A domain	0.047
PF01425	+	0.000	0.000	0.000	0.000	0.071	0.075	0.082	0.000	0.000	0.000	0.000	0.000	0.000	Amidase	0.029
PF01609	-	-0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase DDE domain	0.019
PF03781	-	-0.011	0.000	0.000	0.000	0.000	-0.008	-0.064	0.000	0.000	0.000	0.000	0.000	0.000	Sulfatase-modifying factor enzyme 1	0.015
PF13788	+	0.000	0.000	0.000	0.000	0.021	0.016	0.078	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4180)	0.012
PF03653	-	0.000	0.000	0.000	0.000	-0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family (UPF0093)	0.012
PF00932	+	0.043	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Lamin Tail Domain	0.012
PF04471	-	-0.023	0.000	0.000	0.000	-0.033	-0.025	-0.036	0.000	0.000	0.000	0.000	0.000	0.000	Restriction endonuclease	0.011
PF03481	+	0.008	0.000	0.000	0.000	0.266	0.188	0.208	0.000	0.000	0.000	0.000	0.000	0.000	Putative GTP-binding controlling metal-binding	0.005
PF13424	-	-0.036	0.000	0.000	0.000	-0.095	-0.088	-0.115	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	-0.009
PF00940	+	0.051	0.000	0.000	0.000	0.458	0.404	0.576	0.000	0.000	0.000	0.000	0.000	0.000	DNA-dependent RNA polymerase	-0.010
PF05045	+	0.148	0.053	0.000	0.000	0.160	0.161	0.211	0.000	0.000	0.000	0.000	0.000	0.000	Rhamnan synthesis protein F	-0.013
PF00081	-	-0.050	0.000	0.000	0.000	-0.071	-0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Iron/manganese superoxide dismutases, alpha-hairpin domain	-0.014
PF02777	-	-0.000	0.000	0.000	0.000	-0.073	-0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Iron/manganese superoxide dismutases, C-terminal domain	-0.014
PF02790	-	0.000	0.000	0.000	0.000	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome C oxidase subunit II, transmembrane domain	-0.016
PF13175	-	-0.222	-0.086	-0.024	0.000	-0.264	-0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA ATPase domain	-0.018
PF01470	-	-0.157	-0.047	0.000	0.000	-0.257	-0.229	-0.331	0.000	0.000	0.000	0.000	0.000	0.000	Pyroglutamyl peptidase	-0.021
PF07691	-	0.000	0.000	0.000	0.000	-0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PA14 domain	-0.021
PF09369	+	0.000	0.000	0.000	0.000	0.027	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1998)	-0.029
PF01882	-	-0.031	-0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function DUF58	-0.058
PF07786	-	0.000	0.000	0.000	0.000	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1624)	-0.058
PF00565	-	-0.084	0.000	0.000	0.000	-0.080	-0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Staphylococcal nuclease homologue	-0.081
PF14659	-	0.000	0.000	0.000	0.000	-0.086	-0.046	-0.156	0.000	0.000	0.000	0.000	0.000	0.000	Phage integrase, N-terminal SAM-like domain	-0.084
PF01878	-	0.000	0.000	0.000	0.000	-0.109	-0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	EVE domain	-0.085
PF01555	-	-0.139	-0.109	-0.072	0.000	-0.201	-0.188	-0.166	0.000	0.000	0.000	0.000	0.000	0.000	DNA methylase	-0.097
PF09605	+	0.012	0.000	0.000	0.000	0.074	0.078	0.100	0.000	0.000	0.000	0.000	0.000	0.000	Hypothetical bacterial integral membrane protein (Trep_Strep)	-0.102
PF05193	-	0.000	0.000	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase M16 inactive domain	-0.104
PF02498	+	0.000	0.000	0.000	0.000	0.021	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	BRO family, N-terminal domain	-0.123
PF11716	-	0.000	0.000	0.000	0.000	-0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Mycothiol maleylpyruvate isomerase N-terminal domain	-0.125
PF04326	-	-0.020	0.000	0.000	0.000	-0.067	-0.050	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	Divergent AAA domain	-0.125
PF13735	+	0.000	0.000	0.000	0.000	0.002	0.000	0.105	0.000	0.000	0.000	0.000	0.000	0.000	tRNA nucleotidyltransferase domain 2 putative	-0.153
PF13289	-	-0.091	-0.027	0.000	0.000	-0.166	-0.142	-0.220	0.000	0.000	0.000	0.000	0.000	0.000	SIR2-like domain	-0.157
PF00274	+	0.049	0.000	0.000	0.000	0.000	0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fructose-bisphosphate aldolase class-I	-0.168
