	class	0.1_0	0.5_0	0.2_0	0.7_0	1_0	0.07_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF10662	+	0.184	0.205	0.193	0.200	0.113	0.127	0.003	0.000	0.000	0.000	0.000	0.000	0.000	Ethanolamine utilisation - propanediol utilisation	0.034
PF09588	+	0.000	0.016	0.000	0.179	0.153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YqaJ-like viral recombinase domain	0.031
PF01633	+	0.000	0.000	0.000	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Choline/ethanolamine kinase	0.031
PF03412	+	0.000	0.000	0.000	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase C39 family	0.030
PF13787	+	0.000	0.190	0.061	0.252	0.291	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function with HXXEE motif	0.022
PF03605	+	0.000	0.075	0.018	0.149	0.123	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Anaerobic c4-dicarboxylate membrane transporter	0.021
PF01268	+	0.122	0.180	0.134	0.198	0.132	0.073	0.016	0.000	0.000	0.000	0.000	0.000	0.000	Formate--tetrahydrofolate ligase	0.016
PF02030	+	0.000	0.079	0.000	0.157	0.198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hypothetical lipoprotein (MG045 family)	0.010
PF05534	+	0.000	0.074	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HicB family	0.009
PF06426	+	0.000	0.083	0.000	0.170	0.187	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Serine acetyltransferase, N-terminal	-0.001
PF10711	+	0.000	0.000	0.000	0.166	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hypothetical protein (DUF2513)	-0.007
PF05154	+	0.000	0.091	0.034	0.120	0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TM2 domain	-0.012
PF11694	+	0.000	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3290)	-0.012
PF13635	+	0.000	0.090	0.065	0.015	0.121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4143)	-0.014
PF10137	+	0.000	0.000	0.000	0.000	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted nucleotide-binding protein containing TIR-like domain	-0.023
PF04345	+	0.000	0.000	0.000	0.000	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Chorismate lyase	-0.036
PF06965	+	0.000	0.000	0.000	0.000	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Na+/H+ antiporter 1	-0.041
PF02685	+	0.000	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glucokinase	-0.058
PF02903	+	0.000	0.038	0.000	0.098	0.161	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alpha amylase, N-terminal ig-like domain	-0.059
PF09364	+	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	XFP N-terminal domain	-0.063
PF13166	-	0.000	-0.039	0.000	-0.233	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	-0.092
PF08447	+	0.000	0.129	0.000	0.138	0.209	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PAS fold	-0.095
PF08274	+	0.000	0.282	0.084	0.290	0.282	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PhnA Zinc-Ribbon	-0.098
PF01791	+	0.000	0.283	0.217	0.000	0.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DeoC/LacD family aldolase	-0.099
PF06250	+	0.000	0.012	0.000	0.105	0.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1016)	-0.106
PF12869	-	0.000	0.000	0.000	0.000	-0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	tRNA_anti-like	-0.112
PF11041	-	0.000	0.000	0.000	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2612)	-0.119
PF01149	+	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Formamidopyrimidine-DNA glycosylase N-terminal domain	-0.119
PF07549	-	0.000	0.000	0.000	-0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SecD/SecF GG Motif	-0.122
PF03595	-	0.000	-0.162	-0.045	-0.213	-0.209	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Voltage-dependent anion channel	-0.122
PF04170	-	0.000	0.000	0.000	-0.017	-0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NlpE N-terminal domain	-0.123
PF02475	+	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Met-10+ like-protein	-0.124
PF01161	-	0.000	0.000	0.000	-0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphatidylethanolamine-binding protein	-0.127
PF10076	-	0.000	0.000	0.000	0.000	-0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2313)	-0.132
PF07021	-	0.000	0.000	0.000	-0.043	-0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Methionine biosynthesis protein MetW	-0.133
PF05272	-	0.000	0.000	0.000	0.000	-0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Virulence-associated protein E	-0.136
PF00211	-	0.000	-0.063	0.000	-0.085	-0.127	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Adenylate and Guanylate cyclase catalytic domain	-0.142
PF06056	-	0.000	0.000	0.000	-0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative ATPase subunit of terminase (gpP-like)	-0.145
PF07805	-	0.000	0.000	0.000	-0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HipA-like N-terminal domain	-0.149
PF07179	-	0.000	-0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SseB protein N-terminal domain	-0.155
PF06293	-	0.000	-0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Lipopolysaccharide kinase (Kdo/WaaP) family	-0.155
PF08903	-	0.000	0.000	0.000	-0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1846)	-0.156
PF06941	-	0.000	0.000	0.000	-0.008	-0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)	-0.156
PF13521	+	0.000	0.029	0.000	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	-0.158
PF00891	-	-0.002	-0.116	-0.070	-0.132	-0.153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	O-methyltransferase	-0.161
PF08415	-	0.000	-0.081	0.000	-0.107	-0.184	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nonribosomal peptide synthase	-0.162
PF11794	-	0.000	-0.065	-0.009	-0.036	-0.124	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4-hydroxyphenylacetate 3-hydroxylase N terminal	-0.165
PF12535	-	0.000	0.000	0.000	-0.013	-0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hydrolase of X-linked nucleoside diphosphate N terminal	-0.165
PF01337	-	0.000	0.000	0.000	-0.066	-0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Barstar (barnase inhibitor)	-0.165
PF05857	-	0.000	-0.133	-0.056	-0.188	-0.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TraX protein	-0.167
PF14502	-	0.000	-0.004	-0.015	-0.065	-0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	-0.168
PF01443	-	0.000	-0.040	-0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Viral (Superfamily 1) RNA helicase	-0.168
PF14864	-	0.000	-0.047	0.000	-0.127	-0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alkyl sulfatase C-terminal	-0.171
PF03806	-	0.000	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AbgT putative transporter family	-0.171
PF07811	+	0.000	0.096	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TadE-like protein	-0.179
PF13653	-	0.000	0.000	0.000	-0.007	-0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycerophosphoryl diester phosphodiesterase family	-0.185
PF04606	-	0.000	-0.031	0.000	-0.159	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ogr/Delta-like zinc finger	-0.185
PF01223	-	0.000	0.000	0.000	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA/RNA non-specific endonuclease	-0.185
PF00301	-	0.000	-0.121	-0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Rubredoxin	-0.192
PF01447	-	0.000	0.000	0.000	-0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thermolysin metallopeptidase, catalytic domain	-0.193
PF03825	+	0.000	0.000	0.000	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nucleoside H+ symporter	-0.194
PF13348	-	0.000	-0.107	-0.044	-0.157	-0.097	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tyrosine phosphatase family C-terminal region	-0.196
PF02868	-	0.000	-0.050	0.000	0.000	-0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thermolysin metallopeptidase, alpha-helical domain	-0.196
PF03390	-	0.000	-0.039	0.000	-0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2-hydroxycarboxylate transporter family	-0.196
PF00201	-	0.000	0.000	0.000	-0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	UDP-glucoronosyl and UDP-glucosyl transferase	-0.198
PF02839	-	-0.063	-0.179	-0.153	-0.150	-0.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Carbohydrate binding domain	-0.198
PF03109	+	0.000	0.097	0.017	0.139	0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ABC1 family	-0.204
PF01226	-	0.000	0.000	0.000	0.000	-0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Formate/nitrite transporter	-0.204
PF14690	-	-0.092	-0.176	-0.169	-0.237	-0.177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	zinc-finger of transposase IS204/IS1001/IS1096/IS1165	-0.204
PF03170	-	0.000	0.000	0.000	0.000	-0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial cellulose synthase subunit	-0.207
PF13342	-	0.000	-0.030	-0.051	-0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	C-terminal repeat of topoisomerase	-0.207
PF06865	-	0.000	-0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1255)	-0.207
PF13474	+	0.000	0.017	0.000	0.070	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SnoaL-like domain	-0.209
PF02667	-	0.000	-0.068	-0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Short chain fatty acid transporter	-0.210
PF04183	-	-0.011	-0.187	-0.137	-0.194	-0.237	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	IucA / IucC family	-0.212
PF03773	-	0.000	0.000	-0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted permease	-0.213
PF14526	-	-0.007	-0.221	-0.125	-0.246	-0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Integron-associated effector binding protein	-0.217
PF06094	-	0.000	0.000	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AIG2-like family	-0.218
PF03845	-	0.000	-0.011	-0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Spore germination protein	-0.221
PF13766	-	0.000	-0.033	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2-enoyl-CoA Hydratase C-terminal region	-0.227
PF00585	-	0.000	0.000	0.000	-0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	C-terminal regulatory domain of Threonine dehydratase	-0.228
PF03969	-	0.000	-0.009	-0.014	-0.062	-0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AFG1-like ATPase	-0.229
PF01855	-	0.000	0.000	0.000	-0.036	-0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg	-0.240
PF00116	-	0.000	0.000	0.000	-0.012	-0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome C oxidase subunit II, periplasmic domain	-0.242
PF01957	-	0.000	-0.062	0.000	-0.095	-0.153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NfeD-like C-terminal, partner-binding	-0.246
PF07683	-	0.000	-0.106	-0.078	-0.120	-0.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cobalamin synthesis protein cobW C-terminal domain	-0.248
PF03050	-	-0.092	-0.115	-0.119	-0.075	-0.124	-0.063	-0.024	0.000	0.000	0.000	0.000	0.000	0.000	Transposase IS66 family	-0.249
PF02277	-	0.000	0.000	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoribosyltransferase	-0.254
PF04262	-	-0.146	-0.245	-0.236	-0.231	-0.256	-0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glutamate-cysteine ligase	-0.260
PF06081	-	-0.002	0.000	-0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial protein of unknown function (DUF939)	-0.260
PF08338	-	0.000	0.000	-0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1731)	-0.263
PF14497	-	0.000	-0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glutathione S-transferase, C-terminal domain	-0.266
PF00092	-	0.000	-0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	von Willebrand factor type A domain	-0.266
PF04203	-	-0.002	0.000	-0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sortase family	-0.267
PF02690	-	0.000	-0.038	0.000	0.000	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Na+/Pi-cotransporter	-0.271
PF00296	-	0.000	-0.033	0.000	-0.107	-0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Luciferase-like monooxygenase	-0.277
PF04234	-	-0.198	-0.080	-0.103	0.000	0.000	-0.205	-0.082	0.000	0.000	0.000	0.000	0.000	0.000	CopC domain	-0.278
PF07739	-	-0.033	0.000	-0.003	0.000	0.000	-0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TipAS antibiotic-recognition domain	-0.286
PF12728	-	0.000	-0.116	-0.006	0.000	-0.212	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	-0.295
PF00665	-	0.000	0.000	0.000	-0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Integrase core domain	-0.302
PF10672	-	0.000	-0.452	-0.223	-0.434	-0.487	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	S-adenosylmethionine-dependent methyltransferase	-0.310
PF01590	-	-0.018	-0.086	-0.049	-0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GAF domain	-0.324
PF04960	-	0.000	-0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glutaminase	-0.324
PF02322	-	0.000	0.000	0.000	0.000	-0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome oxidase subunit II	-0.331
PF08448	+	0.000	0.098	0.047	0.125	0.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PAS fold	-0.335
PF08240	+	0.000	0.000	0.000	0.005	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alcohol dehydrogenase GroES-like domain	-0.373
PF02803	+	0.000	0.159	0.076	0.156	0.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thiolase, C-terminal domain	-0.373
PF13185	-	-0.237	-0.131	-0.141	-0.194	-0.273	-0.180	-0.048	0.000	0.000	0.000	0.000	0.000	0.000	GAF domain	-0.373
PF13480	-	-0.023	0.000	-0.036	0.000	0.000	-0.021	-0.025	0.000	0.000	0.000	0.000	0.000	0.000	Acetyltransferase (GNAT) domain	-0.374
PF02517	-	0.000	0.000	0.000	-0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CAAX protease self-immunity	-0.383
PF01316	-	-0.058	-0.235	-0.184	-0.145	-0.236	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Arginine repressor, DNA binding domain	-0.384
PF01694	-	0.000	-0.060	0.000	-0.030	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Rhomboid family	-0.407
PF09186	-	0.000	-0.082	0.000	-0.088	-0.148	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1949)	-0.526
