	class	0.7_0	0.2_0	0.07_0	0.5_0	0.02_0	1_0	0.05_0	0.1_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF06296	+	0.175	0.085	0.000	0.191	0.000	0.238	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1044)	0.349
PF09938	+	0.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2170)	0.340
PF03795	+	0.000	0.028	0.000	0.032	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YCII-related domain	0.331
PF14378	+	0.125	0.035	0.000	0.104	0.000	0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PAP2 superfamily	0.322
PF03390	+	0.051	0.085	0.000	0.000	0.000	0.000	0.000	0.044	0.000	0.000	0.000	0.000	0.000	2-hydroxycarboxylate transporter family	0.314
PF08681	+	0.000	0.000	0.000	0.042	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1778)	0.301
PF07833	+	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Copper amine oxidase N-terminal domain	0.292
PF04463	+	0.078	0.044	0.000	0.000	0.000	0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF523)	0.282
PF02955	-	0.000	0.000	0.000	-0.064	0.000	-0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Prokaryotic glutathione synthetase, ATP-grasp domain	0.270
PF01914	-	-0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MarC family integral membrane protein	0.263
PF03853	+	0.036	0.000	0.000	0.052	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YjeF-related protein N-terminus	0.257
PF13567	+	0.194	0.174	0.000	0.245	0.000	0.261	0.000	0.086	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4131)	0.250
PF08415	+	0.192	0.000	0.000	0.175	0.000	0.220	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nonribosomal peptide synthase	0.246
PF04131	+	0.133	0.021	0.000	0.090	0.000	0.146	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative N-acetylmannosamine-6-phosphate epimerase	0.236
PF14393	+	0.026	0.000	0.000	0.000	0.000	0.142	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4422)	0.233
PF14497	-	-0.078	-0.029	0.000	-0.095	0.000	-0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glutathione S-transferase, C-terminal domain	0.211
PF03972	+	0.097	0.055	0.000	0.194	0.000	0.175	0.000	0.027	0.000	0.000	0.000	0.000	0.000	MmgE/PrpD family	0.211
PF00463	-	0.000	0.000	0.000	-0.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Isocitrate lyase family	0.209
PF00102	+	0.069	0.000	0.000	0.015	0.000	0.170	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein-tyrosine phosphatase	0.209
PF05263	+	0.759	0.505	0.000	0.691	0.000	0.747	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF722)	0.203
PF09375	-	-0.016	0.000	0.000	0.000	0.000	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Imelysin	0.202
PF06821	+	0.185	0.045	0.000	0.242	0.000	0.257	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Serine hydrolase	0.188
PF09223	-	-0.167	-0.044	0.000	-0.144	0.000	-0.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YodA lipocalin-like domain	0.184
PF08020	+	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1706)	0.177
PF10101	+	0.078	0.041	0.000	0.026	0.000	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted membrane protein (DUF2339)	0.160
PF02646	-	-0.131	-0.047	0.000	-0.132	0.000	-0.187	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RmuC family	0.159
PF06430	+	0.353	0.062	0.000	0.221	0.000	0.306	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Lactococcus lactis RepB C-terminus	0.156
PF12801	+	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4Fe-4S binding domain	0.148
PF08643	+	0.277	0.227	0.149	0.198	0.000	0.262	0.000	0.187	0.000	0.000	0.000	0.000	0.000	Fungal family of unknown function (DUF1776)	0.139
PF07555	+	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	beta-N-acetylglucosaminidase	0.138
PF08274	-	0.000	-0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PhnA Zinc-Ribbon	0.123
PF00544	+	0.186	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pectate lyase	0.122
PF14238	+	0.000	0.000	0.000	0.034	0.000	0.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4340)	0.122
PF11794	-	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4-hydroxyphenylacetate 3-hydroxylase N terminal	0.122
PF09508	+	0.832	0.896	0.211	0.856	0.000	0.801	0.000	0.526	0.000	0.000	0.000	0.000	0.000	Lacto-N-biose phosphorylase	0.118
PF12708	-	-0.126	0.000	0.000	-0.120	0.000	-0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pectate lyase superfamily protein	0.110
PF13443	-	0.000	0.000	0.000	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cro/C1-type HTH DNA-binding domain	0.105
PF08751	-	-0.067	0.000	0.000	-0.154	0.000	-0.203	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TrwC relaxase	0.101
PF04198	-	-0.124	-0.049	0.000	-0.108	0.000	-0.104	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative sugar-binding domain	0.097
PF13384	-	0.000	-0.003	0.000	-0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Homeodomain-like domain	0.094
PF13380	-	-0.041	-0.136	0.000	-0.089	0.000	-0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CoA binding domain	0.091
PF03096	+	0.053	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ndr family	0.090
PF09681	+	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	N-terminal phage replisome organiser (Phage_rep_org_N)	0.078
PF03577	+	0.102	0.051	0.000	0.079	0.000	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase family C69	0.072
PF14535	+	0.165	0.000	0.000	0.218	0.000	0.257	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AMP-binding enzyme C-terminal domain	0.056
PF01116	-	-0.017	0.000	0.000	-0.066	0.000	-0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fructose-bisphosphate aldolase class-II	0.037
PF01163	-	-0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RIO1 family	0.024
PF07216	+	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LcrG protein	0.015
PF09025	+	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YopR Core	0.015
PF03400	-	-0.167	0.000	0.000	-0.111	0.000	-0.151	0.000	0.000	0.000	0.000	0.000	0.000	0.000	IS1 transposase	0.012
PF00908	-	-0.106	-0.034	0.000	-0.085	0.000	-0.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	dTDP-4-dehydrorhamnose 3,5-epimerase	0.005
PF04221	-	-0.032	0.000	0.000	-0.048	0.000	-0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RelB antitoxin	0.004
PF13103	-	-0.076	0.000	0.000	-0.142	0.000	-0.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TonB C terminal	-0.018
PF00670	+	0.019	0.001	0.000	0.058	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	-0.026
PF05690	-	-0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thiazole biosynthesis protein ThiG	-0.032
PF13749	-	-0.018	-0.033	0.000	-0.089	0.000	-0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ATP-dependent DNA helicase recG C-terminal	-0.055
PF12010	+	0.000	0.000	0.000	0.011	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3502)	-0.056
PF06769	-	-0.084	0.000	0.000	-0.021	0.000	-0.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid encoded toxin Txe	-0.072
PF07508	-	0.000	-0.043	0.000	-0.051	0.000	-0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Recombinase	-0.075
PF00515	-	-0.053	0.000	0.000	0.000	0.000	-0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	-0.075
PF08708	-	-0.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Primase C terminal 1 (PriCT-1)	-0.079
PF00355	-	-0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Rieske [2Fe-2S] domain	-0.084
PF12822	-	-0.051	0.000	0.000	0.000	0.000	-0.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3816)	-0.096
PF05219	-	-0.021	0.000	0.000	-0.035	0.000	-0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DREV methyltransferase	-0.098
PF09848	-	-0.012	0.000	0.000	0.000	0.000	-0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized conserved protein (DUF2075)	-0.115
PF05154	-	-0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TM2 domain	-0.119
PF13011	-	-0.049	0.000	0.000	0.000	0.000	-0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	leucine-zipper of insertion element IS481	-0.125
PF03435	-	0.000	-0.087	0.000	0.000	0.000	0.000	0.000	-0.061	0.000	0.000	0.000	0.000	0.000	Saccharopine dehydrogenase	-0.129
PF01610	-	0.000	0.000	0.000	-0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase	-0.132
PF13519	-	0.000	-0.009	0.000	-0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	von Willebrand factor type A domain	-0.134
PF10592	-	-0.161	0.000	0.000	-0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AIPR protein	-0.139
PF14096	-	-0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4274)	-0.140
PF14716	-	-0.091	0.000	0.000	-0.140	0.000	-0.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-hairpin-helix domain	-0.147
PF02498	-	0.000	0.000	0.000	-0.034	0.000	-0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	BRO family, N-terminal domain	-0.149
PF00368	-	-0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hydroxymethylglutaryl-coenzyme A reductase	-0.160
PF03444	+	0.088	0.000	0.000	0.000	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Winged helix-turn-helix transcription repressor, HrcA DNA-binding	-0.161
PF13857	-	-0.514	-0.347	-0.053	-0.447	0.000	-0.492	0.000	-0.195	0.000	0.000	0.000	0.000	0.000	Ankyrin repeats (many copies)	-0.173
PF13672	-	-0.093	-0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein phosphatase 2C	-0.177
PF04011	-	0.000	0.000	0.000	-0.069	0.000	-0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LemA family	-0.185
PF05258	-	0.000	0.000	0.000	-0.071	0.000	-0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF721)	-0.200
PF01878	-	-0.053	0.000	0.000	-0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	EVE domain	-0.213
PF00071	-	-0.030	0.000	0.000	-0.072	0.000	-0.103	0.000	-0.003	0.000	0.000	0.000	0.000	0.000	Ras family	-0.270
