	class	0.5_0	0.2_0	1_0	0.7_0	0.1_0	0.07_0	0.05_0	0.02_0	0.005_0	0.01_0	0.007_0	0.001_0	0.002_0	Pfam_desc	cor
PF11042	+	0.044	0.050	0.000	0.034	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2750)	0.165
PF02613	+	0.000	0.000	0.000	0.000	0.051	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nitrate reductase delta subunit	0.162
PF12571	+	0.080	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage tail-collar fibre protein	0.161
PF00781	+	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Diacylglycerol kinase catalytic domain	0.160
PF02922	+	0.068	0.072	0.000	0.110	0.033	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)	0.157
PF13185	-	0.000	0.000	0.000	-0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GAF domain	0.156
PF14490	-	0.000	-0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-hairpin-helix containing domain	0.154
PF13349	-	0.000	0.000	-0.169	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4097)	0.153
PF03264	+	0.016	0.000	0.038	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NapC/NirT cytochrome c family, N-terminal region	0.150
PF13558	-	0.000	0.000	-0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative exonuclease SbcCD, C subunit	0.149
PF12008	+	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type I restriction and modification enzyme - subunit R C terminal	0.147
PF02595	-	0.000	-0.042	0.000	0.000	-0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycerate kinase family	0.145
PF04962	+	0.126	0.000	0.119	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	KduI/IolB family	0.142
PF04186	-	0.000	0.000	-0.152	-0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FxsA cytoplasmic membrane protein	0.142
PF08003	-	0.000	0.000	-0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1698)	0.140
PF02335	+	0.010	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome c552	0.139
PF13434	-	0.000	-0.098	0.000	0.000	-0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	L-lysine 6-monooxygenase (NADPH-requiring)	0.137
PF09318	-	0.000	0.000	-0.082	-0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1975)	0.136
PF13520	+	0.000	0.000	0.000	0.000	0.005	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Amino acid permease	0.132
PF03379	+	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CcmB protein	0.124
PF14542	+	0.000	0.095	0.000	0.066	0.057	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GCN5-related N-acetyl-transferase	0.114
PF07476	-	-0.139	0.000	0.000	-0.138	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Methylaspartate ammonia-lyase C-terminus	0.110
PF13367	-	-0.083	-0.008	-0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protease prsW family	0.110
PF01289	+	0.267	0.198	0.313	0.243	0.153	0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thiol-activated cytolysin	0.108
PF05728	+	0.286	0.166	0.331	0.318	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family (UPF0227)	0.106
PF02806	+	0.000	0.000	0.122	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alpha amylase, C-terminal all-beta domain	0.102
PF04204	-	0.000	-0.031	0.000	-0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Homoserine O-succinyltransferase	0.102
PF01443	-	0.000	0.000	0.000	-0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Viral (Superfamily 1) RNA helicase	0.101
PF13276	-	0.000	-0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HTH-like domain	0.099
PF02748	+	0.000	0.000	0.000	0.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aspartate carbamoyltransferase regulatory chain, metal binding domain	0.090
PF01270	-	-0.140	-0.175	-0.182	-0.111	-0.174	-0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 8	0.090
PF06149	-	-0.015	0.000	-0.148	-0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF969)	0.090
PF09179	+	0.000	0.000	0.142	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TilS substrate binding domain	0.090
PF01011	-	-0.086	0.000	-0.067	-0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PQQ enzyme repeat	0.088
PF12890	-	0.000	0.000	-0.161	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dihydro-orotase-like	0.087
PF02690	-	0.000	0.000	-0.029	-0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Na+/Pi-cotransporter	0.086
PF00248	-	0.000	0.000	-0.071	-0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aldo/keto reductase family	0.082
PF05991	-	-0.028	0.000	-0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YacP-like NYN domain	0.079
PF05065	-	-0.191	-0.117	-0.169	-0.180	-0.101	-0.061	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	Phage capsid family	0.079
PF05534	+	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HicB family	0.079
PF14133	+	0.377	0.277	0.405	0.405	0.152	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4300)	0.076
PF13596	-	-0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PAS domain	0.075
PF04213	+	0.302	0.160	0.470	0.360	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Htaa	0.075
PF10662	+	0.008	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ethanolamine utilisation - propanediol utilisation	0.063
PF01420	+	0.000	0.002	0.000	0.000	0.036	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type I restriction modification DNA specificity domain	0.061
PF04404	-	-0.124	-0.046	0.000	-0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ERF superfamily	0.057
PF02086	-	0.000	0.000	-0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	D12 class N6 adenine-specific DNA methyltransferase	0.056
PF12197	+	0.000	0.000	0.000	0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacillus cereus group antimicrobial protein	0.056
PF13730	-	-0.113	-0.032	-0.055	-0.149	-0.025	-0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	0.052
PF14306	-	-0.069	0.000	0.000	-0.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PUA-like domain	0.048
PF06207	-	0.000	-0.101	-0.132	-0.163	-0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1002)	0.047
PF06810	-	-0.018	0.000	-0.097	-0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage minor structural protein GP20	0.046
PF04548	+	0.029	0.049	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AIG1 family	0.045
PF10592	+	0.313	0.253	0.339	0.379	0.237	0.152	0.015	0.000	0.000	0.000	0.000	0.000	0.000	AIPR protein	0.040
PF14489	-	0.000	0.000	0.000	-0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	QueF-like protein	0.039
PF02457	+	0.039	0.035	0.000	0.113	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DisA bacterial checkpoint controller nucleotide-binding	0.038
PF01076	-	0.000	0.000	-0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid recombination enzyme	0.037
PF08328	+	0.000	0.058	0.000	0.000	0.053	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Adenylosuccinate lyase C-terminal	0.033
PF03618	-	0.000	0.000	-0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Kinase/pyrophosphorylase	0.032
PF03977	-	-0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Na+-transporting oxaloacetate decarboxylase beta subunit	0.029
PF01946	-	-0.109	-0.067	-0.200	-0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thi4 family	0.028
PF03547	-	0.000	0.000	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Membrane transport protein	0.026
PF06999	+	0.000	0.000	0.250	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sucrase/ferredoxin-like	0.025
PF12733	+	0.012	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cadherin-like beta sandwich domain	0.025
PF00216	+	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial DNA-binding protein	0.023
PF04886	+	0.057	0.000	0.075	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PT repeat	0.020
PF11794	-	-0.019	-0.009	-0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4-hydroxyphenylacetate 3-hydroxylase N terminal	0.018
PF02574	+	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Homocysteine S-methyltransferase	0.016
PF13376	+	0.136	0.000	0.210	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacteriocin-protection, YdeI or OmpD-Associated	0.014
PF13723	-	0.000	0.000	0.000	-0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Beta-ketoacyl synthase, N-terminal domain	0.014
PF01391	-	0.000	0.000	-0.175	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Collagen triple helix repeat (20 copies)	0.010
PF00318	+	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribosomal protein S2	0.008
PF11870	-	-0.077	0.000	0.000	-0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3390)	0.007
PF03413	-	0.000	0.000	-0.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase propeptide and YPEB domain	0.007
PF03243	-	0.000	0.000	-0.033	-0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alkylmercury lyase	0.006
PF14552	-	-0.121	-0.033	-0.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tautomerase enzyme	0.004
PF14804	-	0.000	0.000	0.000	0.000	-0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Jag N-terminus	0.004
PF14464	-	0.000	0.000	0.000	-0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Prokaryotic homologs of the JAB domain	0.001
PF01797	-	0.000	-0.009	0.000	0.000	-0.012	-0.018	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	Transposase IS200 like	-0.000
PF12242	+	0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NAD(P)H binding domain of trans-2-enoyl-CoA reductase	-0.002
PF06508	-	-0.088	0.000	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Queuosine biosynthesis protein QueC	-0.002
PF02609	-	-0.009	0.000	-0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Exonuclease VII small subunit	-0.005
PF05729	-	0.000	0.000	-0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NACHT domain	-0.006
PF03746	-	0.000	-0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LamB/YcsF family	-0.008
PF06414	-	-0.060	-0.042	-0.002	-0.073	-0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Zeta toxin	-0.012
PF02682	-	0.000	0.000	-0.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Allophanate hydrolase subunit 1	-0.013
PF13682	-	0.000	0.000	-0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Chemoreceptor zinc-binding domain	-0.013
PF13529	-	-0.059	-0.017	0.000	-0.051	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase_C39 like family	-0.014
PF13394	-	0.000	-0.064	-0.076	-0.131	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4Fe-4S single cluster domain	-0.014
PF03050	-	0.000	-0.028	0.000	0.000	-0.024	-0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase IS66 family	-0.015
PF00282	+	0.044	0.000	0.082	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyridoxal-dependent decarboxylase conserved domain	-0.016
PF13360	+	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PQQ-like domain	-0.019
PF00331	+	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 10	-0.020
PF01385	-	0.000	0.000	0.000	0.000	-0.047	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Probable transposase	-0.020
PF00719	+	0.022	0.014	0.000	0.034	0.047	0.054	0.051	0.000	0.000	0.000	0.000	0.000	0.000	Inorganic pyrophosphatase	-0.026
PF06100	-	0.000	0.000	-0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Streptococcal 67 kDa myosin-cross-reactive antigen like family	-0.026
PF12072	-	-0.377	-0.245	-0.301	-0.326	-0.131	-0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3552)	-0.031
PF12740	-	-0.088	0.000	-0.216	-0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Chlorophyllase enzyme	-0.031
PF01638	-	0.000	-0.020	0.000	-0.141	-0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HxlR-like helix-turn-helix	-0.031
PF01699	-	-0.130	-0.051	-0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sodium/calcium exchanger protein	-0.032
PF07282	-	0.000	-0.009	0.000	0.000	-0.003	-0.050	-0.024	0.000	0.000	0.000	0.000	0.000	0.000	Putative transposase DNA-binding domain	-0.033
PF13247	+	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4Fe-4S dicluster domain	-0.036
PF07683	-	-0.012	0.000	-0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cobalamin synthesis protein cobW C-terminal domain	-0.038
PF12127	-	-0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SigmaW regulon antibacterial	-0.038
PF03845	-	0.000	0.000	0.000	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Spore germination protein	-0.038
PF08757	-	-0.133	0.000	-0.129	-0.185	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CotH protein	-0.043
PF10704	-	-0.299	-0.171	-0.145	-0.213	-0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2508)	-0.048
PF01547	-	0.000	-0.120	-0.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial extracellular solute-binding protein	-0.048
PF01008	-	0.000	-0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Initiation factor 2 subunit family	-0.050
PF14378	-	-0.103	-0.068	-0.120	-0.078	-0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PAP2 superfamily	-0.050
PF04014	-	-0.119	-0.113	-0.112	-0.129	-0.052	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Antidote-toxin recognition MazE	-0.053
PF00491	+	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Arginase family	-0.053
PF04392	-	-0.021	0.000	-0.054	-0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ABC transporter substrate binding protein	-0.054
PF14531	+	0.085	0.000	0.049	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Kinase-like	-0.056
PF00080	-	-0.132	-0.081	-0.030	-0.134	-0.046	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Copper/zinc superoxide dismutase (SODC)	-0.057
PF13463	-	0.000	0.000	0.000	-0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Winged helix DNA-binding domain	-0.057
PF01745	-	0.000	0.000	0.000	-0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Isopentenyl transferase	-0.059
