	class	0.1_0	0.2_0	0.07_0	0.05_0	0.7_0	0.5_0	0.02_0	1_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF01018	-	0.000	0.000	0.000	0.000	-0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GTP1/OBG	0.045
PF14338	+	0.012	0.057	0.000	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Mrr N-terminal domain	0.031
PF02502	-	0.000	-0.144	0.000	0.000	-0.363	-0.317	0.000	-0.320	0.000	0.000	0.000	0.000	0.000	Ribose/Galactose Isomerase	0.023
PF04685	+	0.000	0.000	0.000	0.000	0.126	0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF608	-0.007
PF08719	-	0.000	-0.036	0.000	0.000	-0.102	-0.108	0.000	-0.122	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1768)	-0.015
PF00468	-	0.000	0.000	0.000	0.000	-0.153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribosomal protein L34	-0.019
PF09903	+	0.000	0.000	0.000	0.000	0.145	0.080	0.000	0.325	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2130)	-0.019
PF00041	-	0.000	-0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fibronectin type III domain	-0.034
PF09997	-	0.000	-0.190	0.000	0.000	-0.562	-0.527	0.000	-0.532	0.000	0.000	0.000	0.000	0.000	Predicted membrane protein (DUF2238)	-0.043
PF01809	-	0.000	-0.049	0.000	0.000	-0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Haemolytic domain	-0.057
PF11907	+	0.000	0.181	0.000	0.000	0.221	0.190	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3427)	-0.073
PF09704	-	0.000	0.000	0.000	0.000	-0.050	-0.043	0.000	-0.068	0.000	0.000	0.000	0.000	0.000	CRISPR-associated protein (Cas_Cas5)	-0.076
PF00092	-	0.000	0.000	0.000	0.000	-0.066	-0.078	0.000	-0.185	0.000	0.000	0.000	0.000	0.000	von Willebrand factor type A domain	-0.087
PF00829	-	-0.410	-0.506	-0.321	-0.261	-0.310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribosomal prokaryotic L21 protein	-0.192
PF04011	-	-0.000	0.000	-0.004	0.000	-0.028	-0.082	0.000	-0.199	0.000	0.000	0.000	0.000	0.000	LemA family	-0.205
