	class	0.02_0	0.05_0	0.07_0	0.1_0	0.5_0	0.2_0	0.7_0	1_0	0.01_0	0.001_0	0.002_0	0.005_0	0.007_0	Pfam_desc	cor
PF14269	+	0.000	0.000	0.091	0.132	0.000	0.165	0.000	0.095	0.000	0.000	0.000	0.000	0.000	Arylsulfotransferase (ASST)	0.130
PF12221	-	0.000	0.000	0.000	0.000	-0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial membrane protein N terminal	0.122
PF01890	+	0.000	0.000	0.000	0.000	0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cobalamin synthesis G C-terminus	0.122
PF03616	+	0.000	0.000	0.000	0.023	0.119	0.103	0.298	0.149	0.000	0.000	0.000	0.000	0.000	Sodium/glutamate symporter	0.122
PF14253	+	0.000	0.000	0.000	0.000	0.081	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	Bacteriophage abortive infection AbiH	0.115
PF05114	+	0.000	0.000	0.000	0.000	0.335	0.061	0.268	0.283	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF692)	0.097
PF02913	-	0.000	0.000	0.000	0.000	-0.080	0.000	-0.039	-0.053	0.000	0.000	0.000	0.000	0.000	FAD linked oxidases, C-terminal domain	0.097
PF13166	+	0.000	0.000	0.000	0.039	0.027	0.112	0.000	0.074	0.000	0.000	0.000	0.000	0.000	AAA domain	0.094
PF05930	-	0.000	0.000	0.000	0.000	-0.054	-0.039	0.000	-0.018	0.000	0.000	0.000	0.000	0.000	Prophage CP4-57 regulatory protein (AlpA)	0.092
PF13156	+	0.000	0.000	0.024	0.071	0.000	0.116	0.000	0.133	0.000	0.000	0.000	0.000	0.000	Restriction endonuclease	0.086
PF01981	+	0.000	0.000	0.000	0.000	0.334	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidyl-tRNA hydrolase PTH2	0.081
PF11795	+	0.000	0.000	0.000	0.000	0.050	0.000	0.000	0.181	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria N-term (DUF3322)	0.080
PF06545	+	0.000	0.000	0.000	0.000	0.199	0.065	0.158	0.215	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1116)	0.073
PF03767	+	0.000	0.000	0.000	0.000	0.213	0.078	0.188	0.271	0.000	0.000	0.000	0.000	0.000	HAD superfamily, subfamily IIIB (Acid phosphatase)	0.069
PF06048	+	0.000	0.000	0.024	0.039	0.000	0.073	0.005	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF927)	0.059
PF04261	-	0.000	0.000	0.000	0.000	-0.058	0.000	0.000	-0.039	0.000	0.000	0.000	0.000	0.000	Dyp-type peroxidase family	0.055
PF13338	+	0.000	0.000	0.000	0.000	0.292	0.049	0.289	0.166	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4095)	0.053
PF06892	+	0.000	0.000	0.006	0.090	0.323	0.240	0.504	0.511	0.000	0.000	0.000	0.000	0.000	Phage regulatory protein CII (CP76)	0.052
PF02040	+	0.000	0.000	0.014	0.056	0.139	0.041	0.148	0.000	0.000	0.000	0.000	0.000	0.000	Arsenical pump membrane protein	0.050
PF14436	+	0.000	0.000	0.000	0.000	0.083	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.000	Bacterial EndoU nuclease	0.049
PF00145	+	0.000	0.000	0.000	0.000	0.158	0.064	0.107	0.157	0.000	0.000	0.000	0.000	0.000	C-5 cytosine-specific DNA methylase	0.043
PF13559	+	0.000	0.000	0.000	0.000	0.240	0.082	0.446	0.368	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4129)	0.039
PF13435	+	0.000	0.000	0.000	0.000	0.133	0.000	0.220	0.418	0.000	0.000	0.000	0.000	0.000	Cytochrome c554 and c-prime	0.016
PF11870	-	0.000	0.000	0.000	0.000	-0.125	0.000	-0.248	-0.244	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3390)	0.012
PF09932	-	0.000	0.000	0.000	0.000	-0.035	0.000	-0.183	-0.040	0.000	0.000	0.000	0.000	0.000	Uncharacterized conserved protein (DUF2164)	-0.004
PF03837	+	0.000	0.000	0.000	0.002	0.000	0.066	0.034	0.000	0.000	0.000	0.000	0.000	0.000	RecT family	-0.005
PF01503	+	0.000	0.000	0.000	0.000	0.103	0.000	0.061	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoribosyl-ATP pyrophosphohydrolase	-0.012
PF03606	+	0.000	0.000	0.000	0.000	0.013	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	C4-dicarboxylate anaerobic carrier	-0.015
PF01139	+	0.000	0.165	0.199	0.219	0.189	0.237	0.275	0.206	0.000	0.000	0.000	0.000	0.000	tRNA-splicing ligase RtcB	-0.020
PF11127	+	0.000	0.000	0.000	0.045	0.414	0.191	0.298	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2892)	-0.022
PF13517	-	0.000	0.000	0.000	0.000	-0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella	-0.031
PF07282	+	0.000	0.000	0.000	0.028	0.000	0.000	0.037	0.127	0.000	0.000	0.000	0.000	0.000	Putative transposase DNA-binding domain	-0.032
PF02545	-	0.000	0.000	0.000	0.000	-0.084	-0.019	-0.106	0.000	0.000	0.000	0.000	0.000	0.000	Maf-like protein	-0.035
PF13289	+	0.000	0.000	0.000	0.000	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SIR2-like domain	-0.047
PF04999	-	0.000	0.000	0.000	0.000	-0.106	-0.020	-0.044	-0.030	0.000	0.000	0.000	0.000	0.000	Cell division protein FtsL	-0.049
PF13742	-	0.000	0.000	0.000	0.000	-0.126	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	OB-fold nucleic acid binding domain	-0.052
PF06769	+	0.000	0.000	0.054	0.074	0.200	0.106	0.152	0.238	0.000	0.000	0.000	0.000	0.000	Plasmid encoded toxin Txe	-0.062
PF13175	+	0.000	0.000	0.000	0.000	0.190	0.012	0.142	0.175	0.000	0.000	0.000	0.000	0.000	AAA ATPase domain	-0.067
PF03275	-	0.000	0.000	0.000	0.000	-0.016	0.000	-0.080	-0.208	0.000	0.000	0.000	0.000	0.000	UDP-galactopyranose mutase	-0.072
PF02719	-	0.000	0.000	0.000	0.000	-0.155	0.000	-0.190	0.000	0.000	0.000	0.000	0.000	0.000	Polysaccharide biosynthesis protein	-0.099
PF09140	-	0.000	0.000	0.000	0.000	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ATPase MipZ	-0.099
PF03572	-	0.000	-0.009	-0.081	-0.152	-0.138	-0.188	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase family S41	-0.099
PF05973	-	0.000	0.000	0.000	0.000	-0.026	0.000	0.000	-0.055	0.000	0.000	0.000	0.000	0.000	Phage derived protein Gp49-like (DUF891)	-0.104
PF01420	+	0.000	0.000	0.000	0.000	0.086	0.000	0.000	0.037	0.000	0.000	0.000	0.000	0.000	Type I restriction modification DNA specificity domain	-0.106
PF00692	-	0.000	0.000	-0.079	-0.092	0.000	-0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	dUTPase	-0.116
PF01637	+	0.000	0.000	0.000	0.045	0.113	0.055	0.064	0.000	0.000	0.000	0.000	0.000	0.000	Archaeal ATPase	-0.121
PF12102	-	0.000	0.000	0.000	0.000	-0.227	-0.164	-0.290	-0.315	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3578)	-0.124
PF13567	-	0.000	0.000	0.000	0.000	-0.112	-0.094	-0.083	-0.098	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4131)	-0.126
PF07663	-	0.000	0.000	0.000	0.000	-0.171	-0.073	0.000	-0.101	0.000	0.000	0.000	0.000	0.000	Sorbitol phosphotransferase enzyme II C-terminus	-0.127
PF04011	-	0.000	0.000	0.000	0.000	-0.248	-0.053	-0.298	-0.286	0.000	0.000	0.000	0.000	0.000	LemA family	-0.130
PF01745	+	0.000	0.000	0.000	0.000	0.027	0.060	0.178	0.000	0.000	0.000	0.000	0.000	0.000	Isopentenyl transferase	-0.132
PF12728	-	0.000	-0.151	-0.135	-0.180	-0.183	-0.173	-0.211	-0.084	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	-0.137
PF10396	-	0.000	-0.129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GTP-binding protein TrmE N-terminus	-0.138
PF01715	-	0.000	-0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	IPP transferase	-0.140
PF06356	-	0.000	0.000	0.000	0.000	-0.060	-0.078	0.000	-0.084	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1064)	-0.142
PF12889	-	0.000	0.000	0.000	0.000	-0.039	0.000	0.000	-0.099	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3829)	-0.142
PF13402	-	0.000	0.000	0.000	0.000	-0.136	-0.124	-0.285	-0.294	0.000	0.000	0.000	0.000	0.000	Peptidase M60-like family	-0.143
PF05192	-	0.000	0.000	-0.012	-0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MutS domain III	-0.145
PF01624	-	0.000	0.000	0.000	-0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MutS domain I	-0.145
PF01464	-	0.000	0.000	-0.035	-0.089	-0.044	-0.065	-0.010	0.000	0.000	0.000	0.000	0.000	0.000	Transglycosylase SLT domain	-0.145
PF02590	-	0.000	0.000	-0.114	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted SPOUT methyltransferase	-0.148
PF01391	-	0.000	0.000	0.000	0.000	-0.270	-0.086	-0.390	-0.253	0.000	0.000	0.000	0.000	0.000	Collagen triple helix repeat (20 copies)	-0.151
PF04608	-	0.000	0.000	0.000	0.000	-0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphatidylglycerophosphatase A	-0.159
PF14393	-	0.000	0.000	0.000	0.000	-0.111	0.000	-0.078	-0.016	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4422)	-0.165
PF08543	-	0.000	0.000	0.000	0.000	-0.043	0.000	-0.048	0.000	0.000	0.000	0.000	0.000	0.000	Phosphomethylpyrimidine kinase	-0.167
PF01661	-	0.000	0.000	0.000	0.000	-0.062	0.000	-0.007	-0.138	0.000	0.000	0.000	0.000	0.000	Macro domain	-0.167
PF01136	-	0.000	0.000	-0.011	-0.067	0.000	-0.098	-0.062	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase family U32	-0.180
PF07977	-	0.000	0.000	0.000	-0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FabA-like domain	-0.194
PF12850	-	0.000	-0.016	0.000	0.000	0.000	-0.116	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Calcineurin-like phosphoesterase superfamily domain	-0.199
PF04221	-	0.000	0.000	0.000	0.000	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RelB antitoxin	-0.206
PF01938	-	0.000	0.000	0.000	0.000	-0.105	-0.026	-0.227	-0.072	0.000	0.000	0.000	0.000	0.000	TRAM domain	-0.216
PF01207	-	0.000	0.000	-0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dihydrouridine synthase (Dus)	-0.221
PF13306	-	0.000	0.000	0.000	0.000	-0.153	0.000	-0.200	-0.077	0.000	0.000	0.000	0.000	0.000	Leucine rich repeats (6 copies)	-0.230
PF10418	-	0.000	0.000	0.000	0.000	-0.115	0.000	0.000	-0.129	0.000	0.000	0.000	0.000	0.000	Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B	-0.263
PF13588	-	0.000	0.000	0.000	0.000	-0.086	0.000	-0.043	0.000	0.000	0.000	0.000	0.000	0.000	Type I restriction enzyme R protein N terminus (HSDR_N)	-0.263
PF13636	-	0.000	0.000	0.000	-0.056	-0.528	-0.177	-0.429	-0.344	0.000	0.000	0.000	0.000	0.000	pre-rRNA processing and ribosome biogenesis	-0.273
PF02086	-	0.000	0.000	0.000	0.000	-0.033	0.000	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	D12 class N6 adenine-specific DNA methyltransferase	-0.275
PF00044	-	0.000	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	-0.299
PF13495	-	0.000	0.000	0.000	0.000	-0.064	-0.023	-0.014	-0.054	0.000	0.000	0.000	0.000	0.000	Phage integrase, N-terminal SAM-like domain	-0.361
