	class	1_0	0.2_0	0.07_0	0.5_0	0.1_0	0.7_0	0.05_0	0.02_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF11308	+	0.363	0.257	0.000	0.338	0.050	0.346	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases related to GH101 family, GHL1-GHL3	0.302
PF00648	+	0.430	0.013	0.000	0.263	0.000	0.350	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Calpain family cysteine protease	0.298
PF07675	+	0.307	0.000	0.000	0.164	0.000	0.188	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cleaved Adhesin Domain	0.298
PF03320	+	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial fructose-1,6-bisphosphatase, glpX-encoded	0.298
PF13688	+	0.000	0.093	0.000	0.045	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Metallo-peptidase family M12	0.287
PF02030	+	0.000	0.000	0.000	0.037	0.000	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hypothetical lipoprotein (MG045 family)	0.279
PF13574	+	0.000	0.000	0.000	0.138	0.000	0.153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Metallo-peptidase family M12B Reprolysin-like	0.273
PF00891	+	0.021	0.119	0.153	0.068	0.143	0.065	0.161	0.052	0.000	0.000	0.000	0.000	0.000	O-methyltransferase	0.262
PF04383	+	0.117	0.264	0.461	0.182	0.409	0.167	0.390	0.052	0.000	0.000	0.000	0.000	0.000	KilA-N domain	0.258
PF10509	+	0.000	0.051	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Galactokinase galactose-binding signature	0.244
PF13148	+	0.143	0.129	0.139	0.150	0.127	0.143	0.147	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3987)	0.237
PF03321	+	0.169	0.163	0.000	0.163	0.041	0.156	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GH3 auxin-responsive promoter	0.227
PF02265	+	0.254	0.000	0.000	0.161	0.000	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	S1/P1 Nuclease	0.227
PF01983	+	0.912	0.772	0.378	0.888	0.578	0.899	0.133	0.000	0.000	0.000	0.000	0.000	0.000	Guanylyl transferase CofC like	0.225
PF13936	+	0.168	0.139	0.070	0.202	0.107	0.197	0.022	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	0.225
PF01316	+	0.061	0.054	0.000	0.116	0.000	0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Arginine repressor, DNA binding domain	0.219
PF06074	+	0.370	0.203	0.000	0.297	0.066	0.322	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF935)	0.215
PF14635	-	-0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-hairpin-helix motif	0.194
PF07476	+	0.166	0.203	0.000	0.136	0.074	0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Methylaspartate ammonia-lyase C-terminus	0.194
PF13728	+	0.000	0.140	0.044	0.145	0.069	0.147	0.000	0.000	0.000	0.000	0.000	0.000	0.000	F plasmid transfer operon protein	0.192
PF02744	+	0.181	0.000	0.000	0.123	0.000	0.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Galactose-1-phosphate uridyl transferase, C-terminal domain	0.188
PF08463	+	0.000	0.002	0.025	0.000	0.006	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	EcoEI R protein C-terminal	0.187
PF05063	+	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MT-A70	0.182
PF14305	+	0.139	0.031	0.000	0.060	0.000	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TupA-like ATPgrasp	0.180
PF03186	+	0.098	0.029	0.000	0.017	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CobD/Cbib protein	0.179
PF01869	+	0.093	0.071	0.000	0.073	0.036	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	BadF/BadG/BcrA/BcrD ATPase family	0.179
PF01609	+	0.071	0.000	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase DDE domain	0.166
PF02424	-	-0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ApbE family	0.164
PF08020	+	0.052	0.000	0.000	0.048	0.000	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1706)	0.163
PF14805	+	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetrahydrodipicolinate N-succinyltransferase N-terminal	0.162
PF05090	+	0.290	0.000	0.000	0.057	0.000	0.151	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Vitamin K-dependent gamma-carboxylase	0.151
PF02274	+	0.035	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Amidinotransferase	0.146
PF03288	+	0.238	0.066	0.000	0.212	0.005	0.228	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Poxvirus D5 protein-like	0.145
PF13310	+	0.052	0.000	0.041	0.000	0.017	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.000	Virulence protein RhuM family	0.143
PF14337	+	0.000	0.171	0.000	0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4393)	0.139
PF14351	+	0.076	0.082	0.000	0.096	0.000	0.121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4401)	0.137
PF14102	+	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Capsule biosynthesis CapC	0.124
PF03616	-	-0.160	-0.003	0.000	-0.141	0.000	-0.189	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sodium/glutamate symporter	0.124
PF12680	+	0.000	0.022	0.000	0.028	0.020	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SnoaL-like domain	0.123
PF13610	+	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DDE domain	0.123
PF13569	+	0.135	0.033	0.000	0.123	0.000	0.114	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4132)	0.118
PF14335	+	0.201	0.000	0.000	0.125	0.000	0.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4391)	0.108
PF00331	+	0.471	0.500	0.034	0.529	0.244	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 10	0.106
PF03352	+	0.085	0.000	0.000	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Methyladenine glycosylase	0.102
PF03193	-	-0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF258	0.099
PF13247	-	-0.155	-0.024	0.000	-0.103	0.000	-0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4Fe-4S dicluster domain	0.092
PF14264	+	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glucosyl transferase GtrII	0.076
PF09439	+	0.000	0.022	0.000	0.098	0.000	0.121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Signal recognition particle receptor beta subunit	0.073
PF02469	+	0.143	0.000	0.000	0.041	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fasciclin domain	0.061
PF03486	-	0.000	0.000	0.000	-0.015	0.000	-0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HI0933-like protein	0.053
PF00022	-	0.000	-0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Actin	0.049
PF05649	+	0.000	0.000	0.000	0.010	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase family M13	0.048
PF01061	-	0.000	0.000	0.000	-0.009	0.000	-0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ABC-2 type transporter	0.046
PF00355	+	0.101	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Rieske [2Fe-2S] domain	0.036
PF02659	-	-0.149	-0.055	0.000	-0.127	0.000	-0.131	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF	0.033
PF01985	-	0.000	0.000	0.000	-0.069	0.000	-0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CRS1 / YhbY (CRM) domain	0.031
PF00939	-	0.000	-0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sodium:sulfate symporter transmembrane region	0.019
PF14821	-	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Threonine synthase N terminus	0.007
PF10994	-	0.000	0.000	0.000	-0.020	0.000	-0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2817)	0.005
PF04657	-	0.000	0.000	0.000	-0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF606	-0.000
PF03006	-	-0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Haemolysin-III related	-0.002
PF04093	-	0.000	-0.103	0.000	0.000	-0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	rod shape-determining protein MreD	-0.005
PF02449	-	-0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase	-0.012
PF13521	-	-0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	-0.016
PF08378	-	-0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nuclease-related domain	-0.024
PF08445	-	0.000	-0.007	0.000	0.000	0.000	-0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FR47-like protein	-0.029
PF13408	-	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Recombinase zinc beta ribbon domain	-0.033
PF13563	-	-0.115	0.000	0.000	-0.041	0.000	-0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2'-5' RNA ligase superfamily	-0.035
PF13385	-	0.000	-0.009	0.000	-0.154	0.000	-0.153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Concanavalin A-like lectin/glucanases superfamily	-0.037
PF01035	-	-0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6-O-methylguanine DNA methyltransferase, DNA binding domain	-0.043
PF01842	-	0.000	-0.059	0.000	-0.115	0.000	-0.147	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ACT domain	-0.061
PF06961	-	0.000	-0.027	0.000	-0.098	0.000	-0.112	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1294)	-0.070
PF05437	-	0.000	-0.081	0.000	-0.075	-0.043	-0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Branched-chain amino acid transport protein (AzlD)	-0.074
PF12766	+	0.124	0.025	0.000	0.151	0.000	0.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyridoxamine 5'-phosphate oxidase	-0.074
PF04860	-	-0.037	-0.074	0.000	-0.088	-0.037	-0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage portal protein	-0.077
PF13348	-	-0.043	0.000	0.000	-0.006	0.000	-0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tyrosine phosphatase family C-terminal region	-0.079
PF07927	-	-0.070	0.000	0.000	-0.069	0.000	-0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YcfA-like protein	-0.079
PF05593	-	-0.099	-0.058	0.000	-0.105	0.000	-0.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RHS Repeat	-0.083
PF10592	-	-0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AIPR protein	-0.086
PF14698	-	0.000	-0.042	-0.045	0.000	-0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Argininosuccinate lyase C-terminal	-0.086
PF05076	-	-0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Suppressor of fused protein (SUFU)	-0.102
PF01958	-	-0.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF108	-0.110
PF00306	-	0.000	0.000	0.000	-0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ATP synthase alpha/beta chain, C terminal domain	-0.129
PF01592	-	0.000	0.000	-0.028	0.000	-0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NifU-like N terminal domain	-0.147
PF03681	-	-0.329	-0.185	-0.005	-0.220	-0.082	-0.232	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family (UPF0150)	-0.157
PF03633	-	-0.350	-0.089	0.000	-0.270	0.000	-0.328	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 65, C-terminal domain	-0.171
PF12395	-	-0.273	0.000	0.000	-0.122	0.000	-0.179	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function	-0.175
PF13823	-	0.000	-0.059	0.000	-0.052	0.000	-0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alcohol dehydrogenase GroES-associated	-0.178
PF05816	-	0.000	-0.045	0.000	-0.105	0.000	-0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Toxic anion resistance protein (TelA)	-0.200
PF02934	-	0.000	0.000	-0.058	0.000	0.000	0.000	-0.030	0.000	0.000	0.000	0.000	0.000	0.000	GatB/GatE catalytic domain	-0.448
PF02637	-	0.000	0.000	-0.004	0.000	0.000	0.000	-0.062	0.000	0.000	0.000	0.000	0.000	0.000	GatB domain	-0.448
PF07728	-	-0.138	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain (dynein-related subfamily)	
