	class	0.2_0	0.7_0	1_0	0.1_0	0.5_0	0.07_0	0.05_0	0.02_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF02733	+	0.082	0.126	0.167	0.062	0.114	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dak1 domain	0.322
PF05154	+	0.199	0.196	0.168	0.175	0.192	0.154	0.097	0.000	0.000	0.000	0.000	0.000	0.000	TM2 domain	0.321
PF12957	+	0.020	0.144	0.162	0.000	0.129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3846)	0.317
PF11528	+	0.217	0.142	0.061	0.000	0.183	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3224)	0.317
PF02274	+	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Amidinotransferase	0.303
PF04439	+	0.000	0.000	0.000	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Streptomycin adenylyltransferase	0.302
PF01361	+	0.000	0.136	0.117	0.000	0.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tautomerase enzyme	0.300
PF03104	+	0.136	0.354	0.366	0.027	0.259	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA polymerase family B, exonuclease domain	0.283
PF05899	+	0.000	0.052	0.041	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF861)	0.276
PF06888	+	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative Phosphatase	0.261
PF06414	+	0.000	0.111	0.112	0.000	0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Zeta toxin	0.252
PF01425	+	0.000	0.031	0.064	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Amidase	0.249
PF01238	+	0.141	0.297	0.325	0.014	0.264	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphomannose isomerase type I	0.245
PF01844	-	0.000	-0.053	-0.066	0.000	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HNH endonuclease	0.243
PF04962	+	0.083	0.189	0.183	0.000	0.177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	KduI/IolB family	0.241
PF04740	+	0.206	0.302	0.301	0.033	0.269	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LXG domain of WXG superfamily	0.239
PF14815	+	0.000	0.025	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NUDIX domain	0.228
PF10442	+	0.074	0.139	0.156	0.000	0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FIST C domain	0.216
PF04964	+	0.000	0.037	0.060	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Flp/Fap pilin component	0.216
PF08495	+	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FIST N domain	0.216
PF13231	+	0.000	0.098	0.083	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dolichyl-phosphate-mannose-protein mannosyltransferase	0.211
PF04138	+	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GtrA-like protein	0.208
PF10400	+	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Virulence activator alpha C-term	0.183
PF00520	+	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ion transport protein	0.171
PF04332	+	0.000	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF475)	0.166
PF02744	+	0.038	0.015	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Galactose-1-phosphate uridyl transferase, C-terminal domain	0.163
PF12840	-	0.000	-0.073	-0.111	0.000	-0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	0.156
PF13539	+	0.000	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	D-alanyl-D-alanine carboxypeptidase	0.140
PF00302	-	-0.017	-0.053	-0.062	0.000	-0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Chloramphenicol acetyltransferase	0.121
PF10145	-	-0.061	-0.140	-0.135	0.000	-0.116	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage-related minor tail protein	0.112
PF13653	-	0.000	-0.057	-0.074	0.000	-0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycerophosphoryl diester phosphodiesterase family	0.107
PF00150	+	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cellulase (glycosyl hydrolase family 5)	0.101
PF06993	-	-0.028	-0.132	-0.193	0.000	-0.155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1304)	0.098
PF13280	-	-0.035	0.000	0.000	-0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	WYL domain	0.097
PF03553	-	0.000	0.000	0.000	0.000	-0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Na+/H+ antiporter family	0.096
PF05673	+	0.026	0.000	0.014	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF815)	0.094
PF13384	-	0.000	0.000	-0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Homeodomain-like domain	0.087
PF01885	-	0.000	0.000	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RNA 2'-phosphotransferase, Tpt1 / KptA family	0.083
PF06961	-	0.000	-0.077	-0.066	0.000	-0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1294)	0.083
PF13936	+	0.106	0.187	0.172	0.012	0.156	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	0.083
PF01258	-	0.000	-0.046	-0.074	0.000	-0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Prokaryotic dksA/traR C4-type zinc finger	0.078
PF00962	-	0.000	-0.123	-0.121	0.000	-0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Adenosine/AMP deaminase	0.078
PF11066	-	0.000	-0.030	-0.024	0.000	-0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2867)	0.063
PF13744	-	0.000	-0.111	-0.111	0.000	-0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	0.059
PF02368	-	-0.028	-0.064	-0.043	0.000	-0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Ig-like domain (group 2)	0.054
PF03576	-	0.000	0.000	-0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase family S58	0.053
PF13899	-	0.000	-0.125	-0.133	0.000	-0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thioredoxin-like	0.050
PF00657	-	-0.092	-0.045	-0.030	-0.038	-0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GDSL-like Lipase/Acylhydrolase	0.046
PF02397	-	-0.075	-0.130	-0.131	-0.007	-0.126	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial sugar transferase	0.044
PF07963	-	0.000	-0.120	-0.102	0.000	-0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Prokaryotic N-terminal methylation motif	0.038
PF13544	-	0.000	0.000	0.000	0.000	-0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type IV pilin N-term methylation site GFxxxE	0.028
PF10410	-	0.000	-0.016	-0.027	0.000	-0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DnaB-helicase binding domain of primase	0.023
PF13707	+	0.000	0.000	0.100	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RloB-like protein	0.018
PF13186	-	-0.025	-0.022	-0.046	0.000	-0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Iron-sulfur cluster-binding domain	0.004
PF06250	+	0.000	0.088	0.103	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1016)	-0.013
PF04973	-	-0.069	-0.127	-0.127	0.000	-0.108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nicotinamide mononucleotide transporter	-0.031
PF05935	-	0.000	-0.014	-0.060	0.000	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Arylsulfotransferase (ASST)	-0.043
PF04239	-	-0.005	-0.018	0.000	0.000	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF421)	-0.046
PF00877	-	-0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NlpC/P60 family	-0.050
PF02677	+	0.000	0.050	0.061	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized BCR, COG1636	-0.056
PF03328	-	-0.070	-0.046	-0.020	-0.028	-0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HpcH/HpaI aldolase/citrate lyase family	-0.063
PF01906	-	-0.126	-0.237	-0.221	0.000	-0.182	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative heavy-metal-binding	-0.081
PF01055	-	0.000	-0.049	-0.118	0.000	-0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 31	-0.089
PF05195	-	-0.026	-0.050	-0.032	0.000	-0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aminopeptidase P, N-terminal domain	-0.106
PF13482	-	0.000	0.000	0.000	0.000	-0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RNase_H superfamily	-0.119
PF01867	-	0.000	-0.037	-0.040	0.000	-0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CRISPR associated protein Cas1	-0.137
PF03993	-	0.000	-0.025	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of Unknown Function (DUF349)	-0.138
PF14529	-	0.000	0.000	0.000	-0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Endonuclease-reverse transcriptase	-0.147
PF02384	-	-0.024	-0.067	-0.069	0.000	-0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	N-6 DNA Methylase	-0.148
PF12900	-	-0.017	0.000	-0.014	0.000	-0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyridoxamine 5'-phosphate oxidase	-0.154
PF00071	-	-0.114	-0.160	-0.147	-0.006	-0.172	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ras family	-0.187
PF06824	-	0.000	-0.072	-0.084	0.000	-0.089	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1237)	-0.192
PF02618	-	0.000	0.000	0.000	-0.009	0.000	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YceG-like family	-0.195
PF14010	-	-0.096	-0.157	-0.169	0.000	-0.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoenolpyruvate carboxylase	-0.258
PF00654	-	0.000	0.000	0.000	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Voltage gated chloride channel	-0.283
